WorkerID|Name|Shift|LineID|JoinDate|HourlyWage|AttendancePct
WOR0060|Joseph Quinn|Evening|LIN0004|18-04-2024|47159.79|32548.87
WOR0061|Colleen Webb|Morning|LIN9999|2023-04-14|13024.95|23831.0
WOR0062|Paul Wiggins|Evening|LIN0002|08/03/2022|29638.29|-862.37
WOR0063|Jesse Foster|Evening|LIN0007|21/09/2022|40073.05|24615.22
WOR0064|  Melissa Jones  |Evening|LIN0003|19/03/2023|7061.19|11088.66
WOR0065|  Trevor Tran  |Night|LIN0017|2022-04-26||2426.72
WOR0066|Daniel Tapia|evening|LIN0007|12/02/2024|0|
WOR0067|John Mccoy|Evening|LIN0009|25-09-2022|6660.18|41857.5
WOR0068|Nicholas Owens|Morning|LIN0012|22/01/2022|19536.4|5694.9
WOR0069|Shawn Nelson|NIGHT|LIN0010|2024-08-31|26089.88|
WOR0070|  Steven Hill  |Evening|LIN0012|08/09/2024|46768.94|47493.7
WOR0071|Adam Morgan|Morning|LIN0019|2022-11-27|32300.28|48782.77
WOR0072|Tanner Williams|Morning|LIN0010|13-10-2023|9783.04|14955.82
WOR0073|Harold Hanson|Morning|LIN0010|08-01-2022|Five Hundred|40022.76
WOR0074|  Jonathan Ellis  |Morning|LIN0014|29/09/2022|20406.32|12578.87
WOR0075|Jamie Kane|Evening|LIN0012|2023-09-30|14482.58|9471.58
WOR0076|Justin Smith|Evening|LIN0010|2022-08-30||30040.9
WOR0077|Cole Avery|Evening|LIN0017|03-02-2023|10735.77|46528.38
INVALID_6|Sonia Jones|Night|LIN0018|10/20/2022|26950.38|12770.73
WOR0079|Ashley Harrison|Night|LIN0017|22/06/2022|10596.05|44935.85
WOR0080|James Powell|Night|LIN0013|03/02/2024|8959.38|14522.64
WOR0081|Jennifer Wise|Night|LIN0008|22-12-2023|16574.34|33612.66
WOR0082|Donna Sullivan|Morning|LIN0013|30/05/2024|49977.01|25654.03
WOR0083|Megan Burch|Evening|LIN0010|09-07-2023|15912.5|25547.36
WOR0084|Gregory Wright|Evening|LIN0014|13-08-2024|11955.05|23889.93
WOR0085|Cheryl Carroll|Night|LIN0007|2023-07-17|3590.07|9876.68
WOR0047|Amanda Elliott|Morning|LIN0020|08-12-2022|49080.31|-4140.7
WOR0087|Julie Stewart|Night|LIN0003|11/04/2023|5082.0|7448.82
WOR0088|  Matthew Morgan  |Evening|LIN0003|08-12-2024|45187.36|40415.26
WOR0089|Kathryn Ball|Night|LIN0016|2022-06-05|5213.19|
WOR0090|Teresa Johnson|Night|LIN0018|03/24/2023|30081.28|12422.97
WOR0091|Christopher Bennett|Evening|LIN0002|2022-12-22|16266.94|
WOR0092|Duane Ford|Morning|LIN0015|03/06/2022|7776.33|14149.31
WOR0063|Timothy Jordan|Night|LIN0006|03/11/2023|Twenty Five Thousand|4412.95
WOR0094|Angela Gomez|Night|LIN0011|2023-08-17|5550.79|8572.66
WOR0095|Michelle Rasmussen|Morning|LIN0014|04/01/2023|37076.82|19987.47
WOR0096|Edward Ramirez|Night|LIN0010|05/19/2022|42594.4|49576.12
WOR0097|Monique Watson|Night|LIN0010|21-11-2024|22125.28|Five Hundred
WOR0098|Victor Cameron|morning|LIN0001|11/03/2023|29148.15|8598.96
INVALID_59|John Mcintosh|Evening|LIN0013|08/07/2022|Twenty Five Thousand|18578.03
WOR0058|Luis Sullivan|Night|LIN0015|04/13/2024|37260.66|11318.85
WOR0101|Herbert West|Night|LIN0016|11/08/2022|18457.71|
WOR0102|Daniel Navarro|evening|LIN0003|09/04/2024||24416.99
WOR0103|Emma Hall|Evening|LIN0002|06/09/2023|42150.38|13493.34
WOR0104|  Hannah Johnson  |Evening|LIN0014|18-07-2022|8688.37|13593.74
WOR0105|Michael Sanchez|Evening|LIN9999|05/01/2024|23834.03|17486.0
WOR0106|  Curtis Osborne  |Night|LIN0008|2022-03-03|20521.08|
WOR0107|Michelle Schultz|Morning|LIN0009|2023-04-27|3755.82|1386.43
WOR0108|Leslie Little|Night|LIN0002|08-08-2022|12513.3|13154.46
WOR0109|Isabella Smith|Evening|LIN0019|20-08-2024|6389.1|
WOR0110|Michael Jackson|Evening|LIN0009|17-10-2024|42300.92|36513.12
WOR0111|Jeremy Oneal|Morning|LIN0003|09/09/2024|12619.02|48989.83
WOR0112|Anthony Gray|Evening|LIN0007|07/06/2023|15533.04|717.71
WOR0113|William Boone|Evening|LIN0007|2024-04-23|Twenty Five Thousand|2180.18
WOR0114|Chad Powell|Night|LIN9999|29-04-2023|0|25655.51
WOR0115|Gary Pham|Night|LIN0003|02-05-2024|-464.76|23416.46
WOR0116|  James Williams  |Morning|LIN0016|03/21/2024|13255.58|43403.16
WOR0117|  Katherine Walker  |Night|LIN0011|2024-06-17||27839.92
WOR0118|Roy Wilson|Evening|LIN0003|31/07/2023|Five Hundred|33982.04
WOR0119|  Rebecca Anderson  |Evening|LIN0020|03/10/2022|18398.01|1233.27
INVALID_64|  Brandon Elliott  |Night|LIN0012|21/05/2024|22256.26|19588.74
WOR0121|Brian Stewart|Evening|LIN0017|2023-10-19|24719.63|2802.75
WOR0122|Hailey Rogers|Night|LIN0017|2023-05-30|21631.2|14092.35
WOR0123|Joshua Chandler|Evening|LIN0012|07/24/2024|33511.44|27491.11
WOR0124|Thomas Harris|Night|LIN0016|2022-12-03|27437.36|21449.88
WOR0125|Bradley Bullock|Evening|LIN0002|05-07-2022|44951.05|30726.24
WOR0126|James Williams|Night|LIN0012|2023-12-10|8652.18|7630.53
WOR0127|John Mckenzie|Evening|LIN0001|06/05/2022|41265.89|2018.48
WOR0128|Shannon Clark|Night|LIN0004|24/09/2024|6486.93|24027.62
WOR0129|  Christine Patton  |Evening|LIN0020|11/04/2022|37071.47|13057.9
WOR0130|Mckenzie Parker|Evening|LIN0004|2023-04-18|22313.62|5207.35
WOR0131|Nicole Trujillo|NIGHT|LIN0015|2022-03-20|23494.86|14579.41
WOR0132|Laurie Gonzales|Night|LIN0004|19-08-2024|8285.76|44474.9
WOR0133|Gloria Greene|Morning|LIN0001|05/27/2022|28235.97|41861.54
WOR0134|Susan Morales|Evening|LIN0014|01/03/2024|29437.23|41372.07
WOR0135|David Lee|Night|LIN0006|19-12-2023|25936.21|13292.19
WOR0136|Pamela Jones|Evening|LIN0008|06/09/2022|22302.74|120.71
WOR0137|Nathan Rogers|Morning|LIN0011|02/07/2023|41170.8|18626.61
WOR0138|Molly Riley|Evening|LIN0014|21-10-2022|5447.16|24726.34
WOR0139|Victor Jones|Morning|LIN0013|2024-02-17|46200.75|19103.44
INVALID_90|Kristina Owens|Evening|LIN0008|2022-07-27|36590.11|31323.01
WOR0141|Joshua Allen|Evening|LIN0009|08-06-2024|Ten Thousand|13607.6
WOR0142|Randy Miles|Morning|LIN0008|17-08-2022||9921.43
WOR0143|Kelly Gallegos|Morning|LIN0007|03/08/2022|13023.01|32234.38
WOR0144|Francisco Smith|Night|LIN0001|06/09/2023|14244.73|37389.32
WOR0145|Candace Perkins|Morning|LIN0006|12-01-2024|2323.6|25743.95
WOR0146|Kelsey Gonzalez|Night|LIN0011|15-04-2022|34551.97|4489.86
WOR0147|Anne Smith|Morning|LIN0016|2023-10-10|46161.21|28768.79
WOR0148|  Luis Nelson  |Evening|LIN0006|07-01-2023|0|13603.05
WOR0149|Preston Perry|Night|LIN0001|27-11-2024|3508.38|3617.35
INVALID_38|Danielle Sanchez|MORNING|LIN0018|30/11/2024|44008.26|34316.37
WOR0151|  Dylan Brown  |Evening|LIN0001|22-11-2022|17207.3|35905.18
WOR0152|Brian Smith|Night|LIN9999|02/02/2024|20359.79|-1729.77
WOR0153|James Barton|EVENING|LIN0020|2024-04-06|16840.22|19580.44
WOR0154|Justin Medina|Night|LIN0017|2022-11-22|29860.23|Ten Thousand
WOR0155|Michael Hill|Morning|LIN0018|09/16/2023|41057.67|44409.98
WOR0156|Amanda Jones|Night|LIN0007|12-07-2023|Twenty Five Thousand|25851.31
WOR0157|Corey Erickson|Evening|LIN0009|12/22/2022|21522.15|0
WOR0158|  Melissa Franco  |Evening|LIN0011|11/22/2022|39515.36|23237.39
WOR0159|  Tracy Fowler  |Evening|LIN0011|07/02/2022|34875.5|
WOR0160|Sherry Herring|MORNING|LIN0008|2022-09-18||Twenty Five Thousand
WOR0161|James Sanchez|Evening|LIN0014|15/09/2024|21115.43|3261.12
WOR0162|Veronica Thomas|Night|LIN0014|12/05/2023|45117.37|46876.1
WOR0163|Robert Duarte|Morning|LIN0018|04/17/2024|Five Hundred|45580.69
WOR0164|Allison Wiggins|Night|LIN0013|02/05/2024|27950.69|871.25
WOR0165|  Martin Harvey  |Evening|LIN0001|2024-08-03|38890.07|8655.81
WOR0166|Dorothy Carrillo|Morning|LIN0011|30-05-2022|9291.45|4556.37
WOR0167|Michelle Case|Night|LIN0011|2022-12-14|17915.55|9699.59
WOR0168|Joy Gutierrez|Night|LIN0019|12/20/2023|16501.52|45564.78
WOR0169|Pamela Anderson|Evening|LIN0002|2024-11-04|13021.52|
WOR0170|  Joshua Hill  |Night|LIN0013|09-02-2024|25629.66|38744.82
WOR0171|Joshua Gilmore|Night|LIN0007|12/23/2024|15747.88|31508.28
WOR0172|Yvette Baker|Night|LIN0017|05/06/2024|38692.3|734.22
WOR0173|Daniel Rogers|Night|LIN0015|03/10/2024|23057.39|49971.76
WOR0174|Fernando King|Morning|LIN0002|07/16/2022|15864.94|48370.67
WOR0175|David Watson|Night|LIN0002|21/12/2023|30569.21|28441.64
WOR0176|Kimberly Ford|Night|LIN0005|2022-12-15|29661.05|17925.4
WOR0177|  Mark Brown  |Night|LIN0020|11/08/2022|35853.15|25717.63
WOR0178|William Marshall|Evening|LIN0005|07/14/2023|47170.88|27146.43
WOR0179|Andrew Welch|Evening|LIN0017|2024-05-03|Five Hundred|5584.98
WOR0180|Jeremy Yang|Evening|LIN0020|28-07-2022|Twenty Five Thousand|43775.37
WOR0181|Anthony Marshall|Night|LIN0011|13-01-2024|2423.56|Five Hundred
WOR0182|Brittany Fernandez|Night|LIN0001|09/03/2023|33547.73|44238.68
WOR0183|Sheri Lane|Evening|LIN0013|27/06/2024|5708.12|33910.08
WOR0184|Donna Dixon|Evening|LIN0015|05/09/2024|6049.55|38576.41
WOR0185|Austin Fletcher|Evening|LIN0012|2022-01-20|41474.01|26620.51
WOR0186|Curtis Randolph|Night|LIN0011|19/03/2024|35617.78|11136.54
WOR0187|Jeremy Williams|Night|LIN0010|05-05-2023|18710.15|623.9
WOR0188|Joel Clark|Night|LIN0016|03/05/2023|17782.02|6304.3
WOR0189|Steven Schmidt|MORNING|LIN0009|2024-11-23|30937.74|29105.37
WOR0190|Victoria Garcia|Morning|LIN0017|28/07/2024|Five Hundred|1009.1
WOR0191|Jennifer Fox|Night|LIN0015|26-06-2022|26239.14|34819.91
WOR0192|Sonya Williams|Morning|LIN0002|2022-10-11|22464.5|32954.69
WOR0193|Patricia Martinez|Morning|LIN9999|01-08-2024|Ten Thousand|39640.44
WOR0194|Christine Bennett|Evening|LIN9999|12-03-2023|34827.59|3250.51
WOR0195|  Michelle Garcia  |Night|LIN0019|06/06/2022|34164.46|15856.55
WOR0196|Linda Patton|Morning|LIN0004|30/06/2022|37747.95|29058.19
WOR0197|Bethany King|morning|LIN0002|04/09/2024|18825.44|22158.15
WOR0198|Natalie Peters|Evening|LIN0016|04-10-2022|3706.88|22429.98
WOR0199|Judy Mccormick|NIGHT|LIN0014|03/05/2024|49698.62|37621.25
WOR0200|John Smith|Night|LIN0012|11/17/2024|16284.03|37966.68
INVALID_77|  Gregory Carpenter  |Morning|LIN0003|2023-07-26|28967.31|
WOR0038|Justin Richmond|evening|LIN0015|2023-05-07|37036.84|21353.64
WOR0203|  Elizabeth Martinez  |NIGHT|LIN0001|03-06-2022||47142.69
WOR0204|Leslie Torres|Morning|LIN0016|07-01-2023|29513.85|34251.51
WOR0205|Nathaniel Harris|Evening|LIN0015|16/04/2024|49371.82|9063.94
WOR0206|Cynthia Martinez|Night|LIN9999|27/07/2022|20814.95|-2372.09
WOR0207|Patricia Butler|Morning|LIN0005|2023-04-04|8834.79|15829.33
INVALID_25|Charles Warren|Evening|LIN0014|05/02/2024|17739.26|
WOR0209|Lindsay Forbes|Morning|LIN0008|2024-08-23|38430.14|47463.15
INVALID_8|Carla Johnson|Morning|LIN0011|2022-09-05|40267.12|27873.18
WOR0211|Amy Hinton|Night|LIN0002|21/06/2023|40787.64|19854.37
WOR0212|Bradley Miller|Morning|LIN0008|08/27/2022|0|44821.76
WOR0213|  Kristina Craig  |Night|LIN0012|2022-07-18|15359.8|25124.21
WOR0214|Robert Ware|morning|LIN0019|2023-08-16|18704.46|43119.13
WOR0215|Krista Mccoy|Morning|LIN9999|2024-03-06|16572.85|49548.16
WOR0216|Joe Hawkins|morning|LIN0017|04/08/2023|15396.19|15297.3
WOR0217|Marisa Thomas|night|LIN0016|27-05-2022|17110.44|32082.82
INVALID_8|Michelle Rodriguez|Evening|LIN0010|01-11-2024|47196.61|18157.3
WOR0219|Diane Lowe|Morning|LIN0005|03/04/2024|49907.38|23298.38
WOR0220|Cindy Rivas|Night|LIN0011|01-01-2024|28895.63|37050.33
WOR0221|Roger Thomas|Morning|LIN0013|18-01-2022|9785.6|25237.83
WOR0222|Alyssa Martin|evening|LIN0011|04/15/2024|13971.72|6224.9
WOR0223|Anita Parker|Morning|LIN0012|19/06/2023|-2328.25|1642.74
WOR0224|Nichole Brooks|Night|LIN0004|13-09-2023|34271.56|10312.49
WOR0225|Sarah Jones|EVENING|LIN0003|2023-04-16|38113.78|31947.91
WOR0226|Blake Williams|Evening|LIN0007|08/23/2022|21116.84|18861.91
WOR0227|David Martin|Night|LIN0013|19/02/2024|25402.1|39910.62
WOR0228|Matthew Roberts|Night|LIN0015|10/11/2023|-4994.32|37797.51
WOR0229|Chris Lee|Night|LIN0015|11/10/2023|32914.38|43521.17
WOR0230|Ann Phelps|Morning|LIN0003|2023-11-18|29886.86|40809.93
WOR0231|Stephanie Tucker|Morning|LIN0019|04/28/2024|36944.98|32749.51
WOR0232|Elizabeth Rodriguez|Night|LIN0011|02/09/2024|46477.35|14685.57
WOR0233|Emily Olson|Morning|LIN0004|03/18/2022|Five Hundred|
WOR0234|Angela Andrews|Night|LIN0010|2024-08-06|25924.88|-2245.63
WOR0235|Michael Hoover|NIGHT|LIN0007|2024-05-23|23656.42|35616.3
WOR0236|Jeff Smith|Night|LIN0004|11/12/2022|16619.74|44603.86
WOR0237|Travis Sharp|Morning|LIN0007|03/18/2023|11450.89|39621.06
WOR0238|Mary Nunez|NIGHT|LIN0007|2022-09-21|45604.07|36770.19
WOR0239|Thomas Moore|Night|LIN0001|07/16/2024|17939.88|40063.74
INVALID_50|Elizabeth Small|Morning|LIN0012|06/02/2022||4422.59
WOR0241|  Gabrielle Lin  |Night|LIN0009|16-05-2022|49759.49|26104.41
WOR0242|Amy Gonzalez|Evening|LIN0011|07-05-2023|6463.83|8322.22
WOR0243|Dale Barnes|Night|LIN0013|08/19/2023|19159.45|38342.41
WOR0244|Robert Acosta|Night|LIN0002|21/07/2022|48217.83|4187.7
WOR0245|Aaron Fernandez|Night|LIN0014|10-01-2024|13922.62|26539.61
WOR0052|Daniel Nguyen|Morning|LIN0017|17-04-2023|36227.65|1907.83
WOR0247|Cynthia Donaldson|Night|LIN0013|17/05/2022|8509.49|22542.83
WOR0248|  Laura White  |Night|LIN0014|10/12/2024|1702.69|19593.11
WOR0249|Jennifer Taylor|morning|LIN0010|01/30/2023|4772.72|36293.03
WOR0250|James Palmer|Morning|LIN0016|10-08-2024|18834.42|25351.15
WOR0251|Denise Gonzales|Night|LIN0016|03/12/2024|18798.94|39242.76
INVALID_79|Jeffrey Maldonado|NIGHT|LIN0020|22/04/2022|22536.95|
WOR0253|Andrew Brown|Morning|LIN0007|06/01/2024|5440.55|Five Hundred
WOR0254|Alexis Cooper|Evening|LIN0017|03/31/2022|7014.6|34210.98
WOR0255|  Marie Gutierrez  |Morning|LIN0010|17/01/2024|16216.29|27568.23
WOR0256|  Patrick Henry  |Night|LIN0014|07/04/2022|6321.27|23141.48
WOR0257|Joseph Reynolds|Morning|LIN0002|03/06/2022|39595.2|32207.93
WOR0258|David Brooks|Night|LIN0018|05-12-2023|10538.47|39094.48
WOR0259|Adam Nguyen|Morning|LIN0018|03/31/2024|34139.74|28928.18
WOR0260|Zoe Mcpherson|Morning|LIN0011|11-06-2022|47628.83|4398.07
WOR0261|Erin Bradshaw|Morning|LIN0007|15-02-2022|46348.28|3974.15
WOR0262|Bryan Boyle|Morning|LIN0005|2024-01-07|48287.86|15033.98
WOR0263|Jennifer Chandler|Morning|LIN0008|07-05-2023|-3627.41|32462.34
WOR0264|Robert Owens|Evening|LIN0007|2022-01-17|2881.59|29568.91
WOR0265|Timothy Garcia|Evening|LIN0001|2023-04-11|38217.53|35611.24
WOR0208|Gloria Nelson|Night|LIN0003|2023-03-20||43110.5
WOR0267|Seth Owens|Morning|LIN0014|10/13/2023|3371.26|25370.69
WOR0268|  Edward Sparks  |Morning|LIN0006|14/03/2023|7801.08|35171.15
WOR0269|Tony Duncan|Morning|LIN0002|23-11-2024|34349.98|36448.43
WOR0270|James Norman|Evening|LIN0019|2023-06-25|46832.89|32029.4
WOR0271|Alan Phillips|Evening|LIN0001|03-06-2022|23197.7|7158.5
WOR0272|  Diana Garcia  |Morning|LIN0017|2022-08-11|6173.07|27814.61
WOR0264|Crystal Jones|Evening|LIN0018|30-08-2022|37654.67|3378.65
WOR0274|John Powell|Morning|LIN0001|01/13/2024|15485.3|30599.9
WOR0275|Cody Douglas|Evening|LIN0008|03/21/2023|17742.96|37638.09
WOR0276|Suzanne Mayo|Evening|LIN0011|11-01-2023|39067.52|6899.98
WOR0277|Michael Little|Morning|LIN0008|30-12-2022|44490.5|2228.99
WOR0278|Terry Hodges|Night|LIN0005|2022-10-14|6965.79|40299.32
WOR0279|Antonio Warren|Night|LIN0003|21/08/2024|-257.3|35417.6
WOR0280|  Amanda Gray  |Evening|LIN0005|2023-09-11|Ten Thousand|38901.03
WOR0281|Jeremy Robbins|Morning|LIN0008|25/06/2024|38358.21|43692.05
WOR0282|Danny Martin|Evening|LIN0009|01/23/2023|21538.56|38333.32
WOR0283|Todd Townsend|Evening|LIN0009|27-09-2024|14914.8|28370.04
WOR0284|Holly Smith|Morning|LIN0009|04/29/2024|24189.09|
WOR0285|Michael Foster|Morning|LIN0011|27-05-2022|6761.85|47496.89
WOR0286|Carolyn Wells|Morning|LIN0016|13/01/2022|27117.16|28677.32
WOR0287|Jill Nelson|Morning|LIN0013|23-02-2024|49037.05|23256.5
WOR0163|Brittany Vaughn|Night|LIN0013|2022-10-20|26573.23|38633.81
WOR0289|Jessica Christian|Morning|LIN0016|2024-10-06|18102.8|44479.38
WOR0290|Felicia Gomez|Night|LIN0020|2023-08-19|35473.53|14274.1
WOR0291|Darren Mills|Evening|LIN0007|04/09/2022|Five Hundred|35816.24
WOR0292|Vanessa Roberts|Evening|LIN0017|2023-09-19|42950.68|
WOR0293|Brian Singleton|Evening|LIN0020|09-08-2022|2393.43|13707.53
WOR0294|Melissa Rodriguez|Morning|LIN0017|04/27/2024|3876.49|48946.82
WOR0295|Ryan Reynolds|Evening|LIN0005|2022-02-18|16862.78|31584.86
WOR0296|Caleb Harvey|Morning|LIN0009|2023-12-15|3877.91|32963.17
WOR0297|Austin Richardson|Morning|LIN0007|2023-01-18|25553.84|39039.1
WOR0298|Chelsea Ortiz|Evening|LIN0020|09/20/2023|20458.83|18587.34
WOR0299|Kristina Lam|MORNING|LIN0003|30/12/2022||32463.42
WOR0300|Kayla Woods|Morning|LIN0009|02/12/2023|46736.88|23340.91
WOR0301|Walter Jordan|Morning|LIN0013|04-10-2023|36306.36|0
WOR0302|Thomas Morris|Night|LIN0007|07/27/2022|43692.34|37942.33
WOR0303|Sierra Ortiz|Night|LIN0007|07-04-2024|1267.78|26837.05
WOR0304|Michael Aguilar|Evening|LIN0005|12/02/2023|16788.55|34956.78
WOR0305|Andrew Graham|Night|LIN0018|01-09-2022|12302.21|Twenty Five Thousand
WOR0306|Tammy Alvarado|night|LIN0015|05-06-2022|17201.02|1478.77
WOR0307|Eric Hurley|Night|LIN0017|01/11/2023|8392.0|23679.07
WOR0308|Anne Roman|Evening|LIN0009|02/12/2022|24293.98|0
WOR0309|  Emily Harris  |Evening|LIN0009|18-02-2022|10368.98|48214.49
WOR0310|Amanda Munoz|Morning|LIN0008|12-03-2024|21657.13|14886.54
WOR0311|James Nelson|Morning|LIN0001|11/12/2023|0|14169.11
WOR0312|Monica Melendez|Morning|LIN0004|05/23/2023|45811.92|
INVALID_82|Stephanie Chavez|Night|LIN0013|08/09/2023|10844.21|24826.66
WOR0314|John Jackson|Evening|LIN0013|31/12/2022|24096.1|13982.64
WOR0315|Cindy Ramirez|Morning|LIN0019|26/08/2022|11596.87|31285.68
WOR0316|Linda Lynn|Morning|LIN0017|2023-08-24|49633.2|7448.98
WOR0317|Spencer Sosa|Evening|LIN0012|11/07/2024||
WOR0087|Karen Higgins|Morning|LIN0003|02/04/2023|34979.09|40006.41
WOR0319|Sara Horne|Morning|LIN0006|06/07/2022|9548.68|5721.69
WOR0320|  Jason Morgan  |Night|LIN0019|2024-01-13|24000.93|258.57
WOR0321|Danny Berry|Morning|LIN0004|30/10/2022|36055.78|35111.48
WOR0322|Michele Evans|Morning|LIN0013|02-08-2023|7805.38|39616.13
WOR0323|Justin Case|Evening|LIN0007|11/22/2024|27471.85|45229.79
WOR0324|Luke Avery|Morning|LIN0002|2023-12-02|39200.2|0
WOR0271|Kimberly Lynch|Morning|LIN0006|03/04/2022|13131.65|3757.69
INVALID_47|Elizabeth Gomez|Morning|LIN0017|16-12-2023|35037.3|17174.65
WOR0327|  Brad Castillo  |Night|LIN0019|10/14/2023|8321.55|34044.27
WOR0328|Stephanie Taylor|Morning|LIN0019|07/07/2022|29913.7|25477.97
WOR0329|Kim Eaton|Morning|LIN0006|29-06-2023|4101.87|25661.75
WOR0330|John Simon|Evening|LIN0004|21/06/2024|27997.87|42234.64
WOR0331|Dana Bender|Morning|LIN0011|2022-05-08|15839.99|48420.27
WOR0332|Donna Jones|Evening|LIN0011|20-10-2023|30794.22|9377.68
WOR0333|Adam Wells|Night|LIN0003|12/18/2023|28910.61|30307.35
WOR0334|Blake Wright|Evening|LIN0013|12/08/2023|5795.84|21985.67
WOR0335|Shannon Park|Morning|LIN0012|10-02-2023|41296.1|7292.05
WOR0336|Dylan Harrington|Night|LIN9999|04/16/2022|17426.89|19039.68
WOR0337|Jessica Wise|Morning|LIN0016|09/11/2023|32630.14|38592.62
WOR0338|David Ellis|Morning|LIN0012|14-09-2024|19322.17|Twenty Five Thousand
WOR0339|Michael Williams|Morning|LIN0017|31-08-2023|8757.26|48262.24
