DoctorID,Name,Specialization,HospitalID
DOC0063,Better,Cardiology,HOS0004
DOC0064,Walk,ORTHOPEDICS,HOS0018
DOC0065,Fight,General Medicine,HOS0010
DOC0066,Keep,General Medicine,HOS0001
DOC0067,Style,Pediatrics,HOS0015
DOC0068,Reduce,Cardiology,HOS0015
DOC0069,Cause,General Medicine,HOS0009
DOC0070,Father,Neurology,HOS0018
DOC0071,Professional,Cardiology,HOS0020
DOC0072,International,Orthopedics,HOS0002
DOC0073,Above,General Medicine,HOS0011
DOC0074,Fine,Orthopedics,HOS0009
DOC0062,Season,Cardiology,HOS0020
DOC0076,Mr,Cardiology,HOS0001
DOC0045,Reason,Neurology,HOS0012
DOC0078,Mention,Orthopedics,HOS0019
DOC0079,Cold,Cardiology,HOS0012
DOC0080,Have,Cardiology,HOS0013
DOC0081,Size,Neurology,HOS0014
DOC0078,His,Orthopedics,HOS0003
DOC0083,Concern,Pediatrics,HOS0011
DOC0084,Cover,Neurology,HOS0003
DOC0085,Figure,Cardiology,HOS0009
DOC0086,Response,Pediatrics,HOS0001
DOC0087,This,Oncology,HOS0006
DOC0088,Subject,Oncology,HOS0010
DOC0089,Career,GENERAL MEDICINE,HOS9999
DOC0090,Full,Orthopedics,HOS0019
DOC0091,Television,Pediatrics,HOS0001
DOC0092,Throughout,NEUROLOGY,HOS0003
DOC0093,Along,General Medicine,HOS0015
DOC0094,May,Orthopedics,HOS0001
DOC0095,Return,Cardiology,HOS0016
DOC0096,Attention,Neurology,HOS0006
DOC0097,However,Pediatrics,HOS0018
DOC0098,Tough,Oncology,HOS0017
DOC0099,Send,General Medicine,HOS0020
DOC0100,Instead,Oncology,HOS0017
DOC0101,Base,Neurology,HOS0014
DOC0102,Mention,Pediatrics,HOS0006
DOC0103,Win,Pediatrics,HOS0017
DOC0104,Mouth,Orthopedics,HOS0017
DOC0105,Old,Oncology,HOS0015
DOC0059,Control,Pediatrics,HOS0012
DOC0107,A,General Medicine,HOS0003
DOC0108,Need,General Medicine,HOS0008
DOC0109,Again,Neurology,HOS0020
DOC0024,Join,Cardiology,HOS0008
DOC0111,Someone,Oncology,HOS0013
DOC0112,Most,Oncology,HOS0004
DOC0113,Common,Neurology,HOS0014
DOC0114,Lead,Cardiology,HOS0002
DOC0115,Great,General Medicine,HOS0007
DOC0116,Model,Neurology,HOS0017
DOC0117,Back,General Medicine,HOS0010
DOC0118,Road,Neurology,HOS0019
DOC0119,Several,Cardiology,HOS0020
DOC0120,Account,General Medicine,HOS0013
DOC0121,Lot,Pediatrics,HOS0018
DOC0122,Bed,General Medicine,HOS0008
DOC0123,Town,Cardiology,HOS0004
DOC0124,Develop,Neurology,HOS0020
DOC0125,Outside,Neurology,HOS0006
DOC0126,Foot,Oncology,HOS0004
DOC0127,End,Orthopedics,HOS0015
INVALID_91,Approach,Cardiology,HOS0009
DOC0129,Less,Cardiology,HOS0006
DOC0130,Culture,Orthopedics,HOS0017
DOC0131,Wind,Orthopedics,HOS0005
DOC0132,Couple,Neurology,HOS0015
DOC0133,General,Oncology,HOS0019
DOC0134,Chair,Orthopedics,HOS0020
DOC0135,Woman,Pediatrics,HOS0001
DOC0136,Friend,Pediatrics,HOS0017
DOC0137,Son,Cardiology,HOS0008
DOC0138,Door,General Medicine,HOS0009
DOC0139,Spring,Neurology,HOS0004
DOC0140,Clearly,ORTHOPEDICS,HOS0017
DOC0141,Sometimes,Cardiology,HOS0019
DOC0142,Feeling,Cardiology,HOS0002
DOC0143,Scientist,Neurology,HOS0005
DOC0144,Current,Neurology,HOS0013
DOC0145,Back,Oncology,HOS0003
DOC0146,Necessary,CARDIOLOGY,HOS0010
INVALID_46,Eight,Neurology,HOS0010
DOC0148,Arrive,Oncology,HOS0008
DOC0149,Game,Neurology,HOS0019
DOC0150,Off,General Medicine,HOS0008
DOC0151,Blue,Neurology,HOS0003
DOC0152,Room,Pediatrics,HOS0006
DOC0153,Seem,Pediatrics,HOS0014
DOC0154,Someone,Cardiology,HOS0019
DOC0155,Product,oncology,HOS0011
DOC0156,Try,Pediatrics,HOS0018
DOC0157,Garden,Orthopedics,HOS0017
DOC0158,Return,General Medicine,HOS0006
DOC0159,National,Neurology,HOS0014
DOC0160,Notice,Pediatrics,HOS0012
DOC0161,Everybody,GENERAL MEDICINE,HOS0002
DOC0162,Official,Cardiology,HOS0017
DOC0163,Ahead,General Medicine,HOS0001
DOC0164,Sing,Oncology,HOS0004
DOC0165,Party,Cardiology,HOS0012
DOC0166,Late,Pediatrics,HOS0016
DOC0167,Out,Oncology,HOS0011
DOC0168,Too,Neurology,HOS0019
DOC0169,Far,Orthopedics,HOS0003
DOC0170,Candidate,Pediatrics,HOS0015
DOC0171,Main,Orthopedics,HOS0003
DOC0172,Level,general medicine,HOS0010
DOC0173,Like,Neurology,HOS0020
DOC0174,Tell,neurology,HOS0002
DOC0175,West,Oncology,HOS0010
DOC0176,Group,Cardiology,HOS0011
DOC0177,Glass,Pediatrics,HOS0004
DOC0178,We,Neurology,HOS0011
DOC0179,Visit,CARDIOLOGY,HOS0020
DOC0180,Care,Neurology,HOS0011
DOC0181,Will,Cardiology,HOS0013
DOC0182,Inside,Neurology,HOS0020
DOC0183,Camera,Pediatrics,HOS0009
DOC0184,Start,Orthopedics,HOS0010
DOC0185,With,Orthopedics,HOS0010
INVALID_28,Figure,Orthopedics,HOS0011
DOC0187,Perhaps,General Medicine,HOS0014
DOC0188,Catch,Orthopedics,HOS0009
INVALID_63,Mission,Orthopedics,HOS0005
DOC0190,Bar,General Medicine,HOS0004
DOC0191,Paper,ONCOLOGY,HOS0018
DOC0192,Knowledge,Oncology,HOS0015
DOC0193,Hair,Cardiology,HOS0019
DOC0194,Way,General Medicine,HOS0020
DOC0195,Allow,oncology,HOS0019
DOC0196,Action,Cardiology,HOS0007
DOC0197,Force,Orthopedics,HOS0016
DOC0198,Become,Neurology,HOS0004
DOC0199,Performance,General Medicine,HOS0009
DOC0200,Through,Neurology,HOS0003
DOC0201,Ball,General Medicine,HOS0019
DOC0202,Time,Oncology,HOS0014
DOC0203,Them,Neurology,HOS0010
DOC0204,Candidate,Neurology,HOS9999
DOC0205,Turn,Neurology,HOS0010
DOC0206,Southern,PEDIATRICS,HOS0019
DOC0207,Leg,Neurology,HOS0004
DOC0208,Push,General Medicine,HOS0011
DOC0209,Evening,General Medicine,HOS0017
DOC0210,Hold,Cardiology,HOS0020
DOC0211,Sense,Pediatrics,HOS0004
INVALID_79,Public,Pediatrics,HOS0017
DOC0213,Theory,Neurology,HOS0011
DOC0214,For,General Medicine,HOS0006
INVALID_7,Recognize,NEUROLOGY,HOS0019
DOC0216,Education,Orthopedics,HOS0017
DOC0217,Game,Cardiology,HOS0014
DOC0218,Establish,Neurology,HOS0012
DOC0219,Store,Oncology,HOS0004
INVALID_1,Significant,Pediatrics,HOS0003
DOC0221,Camera,Orthopedics,HOS0018
DOC0222,But,Neurology,HOS0016
DOC0223,Green,Cardiology,HOS0013
DOC0224,Establish,Orthopedics,HOS9999
DOC0225,Job,Pediatrics,HOS0004
DOC0226,Thank,Cardiology,HOS0008
DOC0227,Animal,General Medicine,HOS0005
DOC0228,Remain,Pediatrics,HOS0003
DOC0229,Produce,Neurology,HOS0007
DOC0230,Feeling,Oncology,HOS0001
DOC0231,Stay,Neurology,HOS0015
DOC0232,Eye,Oncology,HOS0012
DOC0233,Its,Orthopedics,HOS0010
DOC0234,Spring,Orthopedics,HOS0013
DOC0217,Process,Cardiology,HOS0016
DOC0236,Top,Orthopedics,HOS0018
DOC0237,Speak,General Medicine,HOS0016
DOC0049,Child,Cardiology,HOS0017
DOC0239,Sort,neurology,HOS0018
DOC0240,Talk,Oncology,HOS0008
INVALID_48,Worry,Pediatrics,HOS0004
DOC0242,Environment,Orthopedics,HOS0002
DOC0243,Lay,Neurology,HOS0013
DOC0244,Write,General Medicine,HOS0015
DOC0245,Necessary,Orthopedics,HOS0009
DOC0246,Number,Orthopedics,HOS0007
DOC0247,Himself,Pediatrics,HOS0002
DOC0248,Spend,Neurology,HOS0009
DOC0249,Against,Pediatrics,HOS0018
DOC0250,Her,Oncology,HOS0019
DOC0251,Population,Orthopedics,HOS0011
DOC0252,Wide,Orthopedics,HOS0003
DOC0253,Imagine,Pediatrics,HOS0004
DOC0254,Foreign,Neurology,HOS0020
DOC0255,Sure,Cardiology,HOS0017
DOC0256,Establish,Neurology,HOS0016
DOC0257,Allow,Orthopedics,HOS0011
DOC0258,Easy,Cardiology,HOS0016
DOC0210,Work,Oncology,HOS0015
DOC0260,Stuff,cardiology,HOS0019
DOC0261,Here,Oncology,HOS0008
DOC0262,Government,Orthopedics,HOS0015
DOC0198,The,Neurology,HOS0002
DOC0264,Behind,General Medicine,HOS0013
DOC0265,Indicate,Orthopedics,HOS0002
DOC0266,See,Neurology,HOS0004
DOC0267,Memory,General Medicine,HOS0009
DOC0136,Result,Oncology,HOS0019
DOC0269,Difference,ONCOLOGY,HOS0015
DOC0270,Republican,General Medicine,HOS0016
DOC0271,Add,Pediatrics,HOS0004
DOC0272,Week,Oncology,HOS0001
DOC0273,Without,Orthopedics,HOS0007
DOC0274,Know,General Medicine,HOS0019
DOC0275,Usually,GENERAL MEDICINE,HOS0002
DOC0276,Window,Pediatrics,HOS0018
DOC0277,Environmental,Cardiology,HOS0015
DOC0278,Music,Neurology,HOS0010
DOC0212,Pay,General Medicine,HOS0008
DOC0280,Tv,Cardiology,HOS0013
DOC0281,Whose,Orthopedics,HOS0002
DOC0282,Most,Pediatrics,HOS0015
DOC0283,Here,Oncology,HOS0019
DOC0284,Customer,GENERAL MEDICINE,HOS0018
DOC0285,Piece,Neurology,HOS0002
DOC0286,Election,cardiology,HOS0001
DOC0287,Parent,Orthopedics,HOS0006
DOC0288,Ok,Orthopedics,HOS0015
DOC0289,National,neurology,HOS0010
DOC0290,Beautiful,Oncology,HOS0005
DOC0291,Present,ORTHOPEDICS,HOS0005
DOC0292,Bill,Neurology,HOS0013
DOC0293,Building,Pediatrics,HOS0016
DOC0294,Who,Oncology,HOS0015
DOC0295,Budget,General Medicine,HOS0008
DOC0296,Policy,Pediatrics,HOS0018
DOC0297,Fine,Pediatrics,HOS0012
INVALID_68,Cultural,Neurology,HOS0020
DOC0299,Serious,Neurology,HOS0005
DOC0300,Resource,Neurology,HOS0007
DOC0301,Improve,General Medicine,HOS0008
DOC0302,Official,Pediatrics,HOS0014
DOC0303,Ability,Pediatrics,HOS0005
DOC0304,Dinner,Neurology,HOS0013
DOC0305,Style,Neurology,HOS0002
DOC0306,Certain,General Medicine,HOS0014
DOC0307,Matter,Cardiology,HOS0005
DOC0308,Movement,Cardiology,HOS0009
DOC0309,Imagine,Oncology,HOS9999
DOC0310,Today,Orthopedics,HOS0010
DOC0311,Rock,Oncology,HOS9999
DOC0312,Read,Pediatrics,HOS0005
DOC0313,Store,General medicine,HOS0019
INVALID_20,Part,Oncology,HOS0001
DOC0315,Although,Neurology,HOS0010
DOC0316,Those,Oncology,HOS0020
DOC0317,Doctor,Cardiology,HOS0014
DOC0318,Various,Orthopedics,HOS0016
DOC0319,Compare,Oncology,HOS0019
DOC0320,Thank,General Medicine,HOS0016
DOC0321,Short,Cardiology,HOS0001
DOC0322,Special,Cardiology,HOS0007
DOC0323,Next,Cardiology,HOS0018
DOC0324,Serve,General Medicine,HOS0009
DOC0325,Could,Pediatrics,HOS0006
DOC0326,Almost,Pediatrics,HOS0014
DOC0327,Operation,Cardiology,HOS0016
DOC0328,Part,General Medicine,HOS0007
DOC0329,Guess,neurology,HOS0009
DOC0330,History,General Medicine,HOS0012
DOC0331,Address,Oncology,HOS0008
DOC0332,Structure,Oncology,HOS0001
INVALID_38,Write,Orthopedics,HOS0011
DOC0334,Citizen,Pediatrics,HOS0006
DOC0335,Wonder,Cardiology,HOS0011
DOC0336,Better,General Medicine,HOS0004
DOC0337,World,Cardiology,HOS0018
DOC0338,Own,Cardiology,HOS9999
DOC0339,Same,Pediatrics,HOS0018
DOC0340,Water,General Medicine,HOS0015
DOC0341,Suffer,Orthopedics,HOS0008
DOC0342,From,Cardiology,HOS0017
DOC0343,Collection,Oncology,HOS0018
DOC0344,Commercial,NEUROLOGY,HOS0007
DOC0345,Return,Cardiology,HOS0013
DOC0346,Audience,Oncology,HOS0016
DOC0347,Attack,Cardiology,HOS9999
INVALID_83,Personal,Neurology,HOS0019
DOC0349,Government,Pediatrics,HOS0014
DOC0350,Major,Orthopedics,HOS0009
DOC0351,Significant,Neurology,HOS0017
DOC0352,Above,Cardiology,HOS0008
DOC0353,Movie,general medicine,HOS0008
DOC0354,Those,Oncology,HOS0015
INVALID_31,Population,Neurology,HOS0001
DOC0356,Final,General Medicine,HOS0009
DOC0357,Plan,Pediatrics,HOS0010
DOC0358,Relate,Neurology,HOS9999
DOC0359,Next,Cardiology,HOS0006
DOC0360,Impact,Cardiology,HOS0014
DOC0361,Culture,cardiology,HOS0004
DOC0362,Wind,Pediatrics,HOS0013
DOC0363,Name,Pediatrics,HOS0013
DOC0364,Sea,General Medicine,HOS0016
INVALID_11,Go,Orthopedics,HOS0017
DOC0366,Here,Neurology,HOS0004
DOC0367,However,Cardiology,HOS0001
DOC0368,Seven,Oncology,HOS0016
DOC0369,Nor,Oncology,HOS0019
DOC0370,Myself,Orthopedics,HOS0008
DOC0371,Yourself,General Medicine,HOS0019
DOC0372,Property,pediatrics,HOS0003
DOC0373,Industry,Pediatrics,HOS0014
DOC0374,Line,Oncology,HOS0003
DOC0375,Party,NEUROLOGY,HOS0006
DOC0376,Walk,Orthopedics,HOS0009
DOC0377,Left,Neurology,HOS0005
DOC0378,Back,Neurology,HOS0013
DOC0379,Our,Oncology,HOS0020
DOC0380,Find,Neurology,HOS0020
DOC0381,Year,Neurology,HOS0005
DOC0382,Member,Oncology,HOS0010
DOC0383,Last,General Medicine,HOS0012
DOC0384,Article,Neurology,HOS0005
DOC0385,Skill,Pediatrics,HOS0002
DOC0386,Store,Cardiology,HOS0012
DOC0387,Right,Oncology,HOS0002
DOC0388,Knowledge,Cardiology,HOS0002
DOC0389,Cost,Orthopedics,HOS0005
DOC0390,Moment,General Medicine,HOS0001
DOC0391,Need,Neurology,HOS0005
DOC0392,During,Cardiology,HOS0007
DOC0393,Ago,Neurology,HOS0004
DOC0394,Those,General Medicine,HOS0020
DOC0181,Opportunity,Pediatrics,HOS0002
INVALID_40,Value,Oncology,HOS0012
DOC0397,Production,Orthopedics,HOS0007
DOC0398,Remain,General Medicine,HOS0007
DOC0399,Pass,Orthopedics,HOS0011
DOC0400,Win,Oncology,HOS0001
DOC0401,Can,Cardiology,HOS0003
DOC0402,Black,Pediatrics,HOS0012
DOC0403,Or,Pediatrics,HOS0005
DOC0404,Argue,General Medicine,HOS0009
DOC0405,Education,General Medicine,HOS0012
DOC0406,And,Pediatrics,HOS0015
DOC0407,Herself,Orthopedics,HOS0018
DOC0408,Board,Oncology,HOS0016
DOC0409,Drop,Orthopedics,HOS0003
DOC0410,Into,Cardiology,HOS0008
DOC0411,Loss,Cardiology,HOS0020
DOC0412,Night,Orthopedics,HOS0016
DOC0413,May,orthopedics,HOS0005
DOC0414,Common,Orthopedics,HOS0001
DOC0415,Test,Oncology,HOS0013
DOC0416,Customer,Oncology,HOS0013
DOC0417,Result,Pediatrics,HOS0014
DOC0418,Account,General Medicine,HOS0018
DOC0419,Behind,General Medicine,HOS0017
DOC0420,Record,Cardiology,HOS0019
DOC0421,Color,oncology,HOS0001
DOC0422,Beat,Neurology,HOS0019
DOC0423,Play,orthopedics,HOS0004
DOC0424,Design,Cardiology,HOS0012
DOC0425,Building,Oncology,HOS0008
DOC0426,I,NEUROLOGY,HOS0019
DOC0427,Language,Oncology,HOS0016
DOC0428,Toward,Pediatrics,HOS0013
DOC0429,Author,Cardiology,HOS0020
DOC0430,Two,Cardiology,HOS0002
DOC0431,Per,General Medicine,HOS0002
DOC0432,How,Neurology,HOS0002
DOC0433,Behavior,Pediatrics,HOS0010
DOC0434,Enough,Neurology,HOS0016
DOC0435,Nearly,Pediatrics,HOS0005
DOC0436,Responsibility,Oncology,HOS0013
DOC0437,Major,ORTHOPEDICS,HOS0013
DOC0438,Decision,Neurology,HOS0018
DOC0439,If,General Medicine,HOS0003
DOC0440,Me,Orthopedics,HOS0009
DOC0441,Religious,Neurology,HOS0018
INVALID_41,Spend,neurology,HOS0001
DOC0443,Exist,Cardiology,HOS0015
DOC0444,Ok,Oncology,HOS0004
DOC0445,Cup,Pediatrics,HOS0011
DOC0446,Sing,Cardiology,HOS0007
DOC0447,Though,Orthopedics,HOS0014
DOC0448,Past,Orthopedics,HOS0009
DOC0449,Among,Oncology,HOS0011
DOC0450,One,Orthopedics,HOS0020
DOC0451,Later,Orthopedics,HOS0008
DOC0452,Movement,General Medicine,HOS0019
DOC0453,Nice,General Medicine,HOS0015
DOC0351,Pattern,Cardiology,HOS0001
DOC0455,Main,Neurology,HOS0003
DOC0456,Else,General Medicine,HOS0009
DOC0457,Instead,Pediatrics,HOS0008
DOC0458,First,Oncology,HOS0005
DOC0240,Their,Pediatrics,HOS0014
INVALID_48,The,neurology,HOS0005
DOC0461,President,Neurology,HOS0007
DOC0462,Score,Neurology,HOS0015
DOC0463,Soldier,Orthopedics,HOS0004
DOC0464,Course,Cardiology,HOS0004
DOC0465,Figure,Pediatrics,HOS0011
DOC0466,Project,Cardiology,HOS0001
DOC0467,President,Orthopedics,HOS0018
DOC0468,Size,orthopedics,HOS0009
DOC0469,Strong,Cardiology,HOS9999
DOC0470,Bank,General Medicine,HOS0011
DOC0471,Run,General Medicine,HOS0013
DOC0472,Popular,Cardiology,HOS0018
DOC0473,Whether,Neurology,HOS0013
DOC0474,Government,General Medicine,HOS0008
DOC0475,Owner,Orthopedics,HOS0008
DOC0476,Under,Orthopedics,HOS0009
DOC0477,Majority,General Medicine,HOS0012
DOC0478,Its,Neurology,HOS0006
DOC0479,Any,general medicine,HOS0010
DOC0480,Try,Orthopedics,HOS0015
DOC0422,Me,Orthopedics,HOS0001
DOC0482,Republican,Oncology,HOS0014
DOC0483,Born,Orthopedics,HOS0020
DOC0484,Outside,General Medicine,HOS0013
DOC0485,Mind,Oncology,HOS0008
DOC0486,End,Oncology,HOS0014
DOC0487,Word,Cardiology,HOS0019
DOC0216,Will,General Medicine,HOS0017
DOC0489,Real,Pediatrics,HOS0003
DOC0490,First,ONCOLOGY,HOS0011
DOC0491,Pattern,Orthopedics,HOS0014
DOC0492,Reveal,Orthopedics,HOS0005
DOC0493,Finish,Neurology,HOS0009
DOC0494,Picture,Orthopedics,HOS0018
DOC0495,Prove,Neurology,HOS0010
DOC0496,Heavy,Orthopedics,HOS0016
DOC0497,Nature,Pediatrics,HOS0004
DOC0498,Everyone,Orthopedics,HOS0003
DOC0499,Others,Neurology,HOS0010
DOC0500,Heavy,General Medicine,HOS0019
DOC0501,Top,Orthopedics,HOS0015
DOC0502,Eight,Oncology,HOS0020
DOC0503,Company,Neurology,HOS0019
DOC0504,Kid,Pediatrics,HOS0010
DOC0505,While,Oncology,HOS0004
DOC0506,Maintain,Pediatrics,HOS0014
DOC0507,Use,Neurology,HOS0019
DOC0508,Window,Oncology,HOS0013
DOC0509,Hear,Neurology,HOS0007
DOC0510,Ground,Pediatrics,HOS0012
DOC0511,Official,Pediatrics,HOS0012
DOC0512,Sea,Neurology,HOS0016
DOC0513,Scientist,General Medicine,HOS0012
DOC0514,Dark,Neurology,HOS0018
DOC0515,Inside,Cardiology,HOS0015
DOC0516,Sound,Neurology,HOS0001
DOC0517,Guy,Cardiology,HOS0006
DOC0518,Stuff,General Medicine,HOS0002
DOC0519,Meeting,General Medicine,HOS0015
DOC0520,Throw,Neurology,HOS0001
INVALID_84,Face,Pediatrics,HOS0005
DOC0522,Color,Cardiology,HOS0015
DOC0523,Firm,General Medicine,HOS0013
DOC0524,Material,General Medicine,HOS0017
DOC0525,Cell,Pediatrics,HOS0001
DOC0526,Outside,Pediatrics,HOS0020
DOC0527,Bank,Orthopedics,HOS0010
DOC0528,Building,General Medicine,HOS0001
DOC0529,Should,Pediatrics,HOS0008
DOC0530,Sport,Cardiology,HOS0013
DOC0531,Hair,Oncology,HOS0002
DOC0532,Two,General Medicine,HOS0003
DOC0533,Moment,Cardiology,HOS0019
DOC0534,Fast,Neurology,HOS0009
DOC0535,Truth,Neurology,HOS0017
DOC0536,Simple,Cardiology,HOS0013
DOC0537,Affect,Pediatrics,HOS0012
DOC0538,Growth,Cardiology,HOS0002
DOC0539,Let,Orthopedics,HOS0007
DOC0540,Shake,Pediatrics,HOS0009
DOC0541,Cut,Oncology,HOS0020
DOC0542,Knowledge,Neurology,HOS0016
DOC0543,Nice,Cardiology,HOS0002
DOC0544,Take,orthopedics,HOS0004
DOC0545,Foreign,Pediatrics,HOS0010
DOC0546,Who,Neurology,HOS0008
DOC0479,Lay,Pediatrics,HOS0016
DOC0169,Best,General Medicine,HOS0007
DOC0549,These,Cardiology,HOS0002
DOC0550,Determine,Orthopedics,HOS0003
DOC0551,Low,Cardiology,HOS0003
DOC0552,Involve,Neurology,HOS0016
DOC0553,Although,Pediatrics,HOS0018
DOC0554,Young,Pediatrics,HOS0004
DOC0555,Discussion,General medicine,HOS0014
DOC0556,Side,Neurology,HOS0020
DOC0557,Participant,Oncology,HOS0007
DOC0558,Face,Cardiology,HOS0005
DOC0559,Recent,Pediatrics,HOS0012
DOC0560,Food,Oncology,HOS0018
DOC0561,Perhaps,Neurology,HOS0016
DOC0562,Fast,Oncology,HOS0012
DOC0563,Service,Cardiology,HOS9999
DOC0564,Spend,Neurology,HOS0009
DOC0565,Option,Orthopedics,HOS0004
DOC0566,Ok,General Medicine,HOS0008
DOC0567,Way,Cardiology,HOS0003
DOC0568,Church,Neurology,HOS0009
DOC0419,Born,Pediatrics,HOS0008
DOC0570,Finish,Orthopedics,HOS0011
DOC0571,Wife,Orthopedics,HOS9999
DOC0572,As,General Medicine,HOS0017
DOC0573,Way,Oncology,HOS0011
DOC0574,Benefit,Orthopedics,HOS0007
DOC0575,Hear,Orthopedics,HOS0018
DOC0576,Suddenly,Cardiology,HOS0004
DOC0577,Close,Neurology,HOS0012
DOC0578,Day,Orthopedics,HOS0006
DOC0579,Which,oncology,HOS0019
DOC0580,Through,General Medicine,HOS0006
DOC0581,Blood,Oncology,HOS9999
DOC0582,Follow,General Medicine,HOS0018
DOC0583,New,General Medicine,HOS0010
DOC0584,Name,Neurology,HOS0013
DOC0585,Choose,Oncology,HOS0012
DOC0586,Idea,neurology,HOS0015
DOC0587,Wish,Oncology,HOS0012
DOC0588,Just,Neurology,HOS0008
DOC0589,Think,General Medicine,HOS0003
DOC0590,Mrs,Pediatrics,HOS0019
DOC0591,Form,Orthopedics,HOS0008
DOC0592,Listen,General Medicine,HOS0001
DOC0593,Financial,orthopedics,HOS0012
DOC0594,Mother,General Medicine,HOS0019
DOC0595,Financial,Cardiology,HOS0019
DOC0596,Put,Neurology,HOS0013
INVALID_2,Drug,Neurology,HOS0019
DOC0598,Mission,Pediatrics,HOS0020
DOC0599,Experience,General Medicine,HOS0017
DOC0600,If,Neurology,HOS0009
DOC0601,Science,Oncology,HOS0012
DOC0602,State,Cardiology,HOS0018
DOC0603,Agent,Neurology,HOS0005
DOC0604,Through,Pediatrics,HOS0010
DOC0605,Generation,cardiology,HOS0011
DOC0606,Onto,General Medicine,HOS0006
DOC0607,Low,Cardiology,HOS0015
DOC0608,Food,Pediatrics,HOS0012
DOC0609,Market,General Medicine,HOS0009
DOC0610,Available,General Medicine,HOS0012
DOC0611,For,Oncology,HOS0001
DOC0612,Break,Oncology,HOS0013
DOC0613,Various,Orthopedics,HOS0016
DOC0614,Sit,Neurology,HOS0008
DOC0615,Moment,Pediatrics,HOS0016
DOC0616,Approach,Cardiology,HOS0009
DOC0617,Defense,General Medicine,HOS0003
DOC0618,Born,Oncology,HOS0007
DOC0619,Serious,Oncology,HOS0014
DOC0620,Culture,Neurology,HOS0006
DOC0621,Particularly,Neurology,HOS0009
DOC0622,Cultural,Neurology,HOS0005
DOC0623,Any,Cardiology,HOS0020
DOC0624,Outside,General Medicine,HOS0001
DOC0625,Standard,General Medicine,HOS9999
INVALID_71,Morning,General Medicine,HOS0009
DOC0627,Exactly,Neurology,HOS0011
INVALID_29,Page,Cardiology,HOS0011
DOC0629,Surface,General Medicine,HOS0013
DOC0630,Area,Neurology,HOS0011
DOC0631,Catch,Cardiology,HOS0018
DOC0632,Wish,Cardiology,HOS9999
DOC0395,Plan,Orthopedics,HOS0002
DOC0634,Back,Cardiology,HOS0003
DOC0635,Program,General Medicine,HOS0012
DOC0636,Lot,Pediatrics,HOS0011
DOC0637,During,Neurology,HOS0002
DOC0638,She,General Medicine,HOS0010
DOC0639,Hear,Cardiology,HOS0013
DOC0640,Pressure,Pediatrics,HOS0016
DOC0641,The,Cardiology,HOS0007
DOC0642,Interest,Pediatrics,HOS0010
DOC0643,International,Orthopedics,HOS0014
DOC0644,Remain,Oncology,HOS0006
