CustomerID,Name,Age,Gender,City,AccountType,KYCStatus,JoinDate,ExtraColumn
CUS0078,Eric Payne,19,FEMALE,Bill,Savings,Unit,2024-12-25,EXTRA_DATA
CUS0079,Vanessa Mayer,22,female,Answer,NRI,Certain,03-02-2024,EXTRA_DATA
CUS0080,Benjamin Keller,28,female,Song,Current,Write,09/03/2024,EXTRA_DATA
CUS0081,Evan Davila,73,F,Real,NRI,Difficult,12-05-2022,EXTRA_DATA
CUS0082,Mary Estrada,79,m,Serve,NRI,Value,02-04-2023,EXTRA_DATA
CUS0083,Cindy Mason,79,Other,From,Savings,Religious,2024-03-05,EXTRA_DATA
CUS0084,Andrew Conway,30,Other,Growth,NRI,First,16/02/2023,EXTRA_DATA
INVALID_13,Michael Cruz,62,Female,Movement,Fixed,Ready,22/08/2022,EXTRA_DATA
CUS0086,Justin Hess,37,MALE,Religious,NRI,Meeting,13/05/2024,EXTRA_DATA
CUS0087,Robert Ferguson,66,Other,Account,Fixed,Style,01/02/2024,EXTRA_DATA
CUS0088,John Sanders,44,Male,Others,Current,More,2023-01-06,EXTRA_DATA
CUS0089,Caroline Valencia,45,male,Threat,NRI,Realize,03-03-2023,EXTRA_DATA
CUS0090,  Laura Meadows  ,150,M,East,Current,Anything,19/02/2023,EXTRA_DATA
CUS0091,Jessica Hamilton,50,m,Out,Current,Rich,30-11-2022,EXTRA_DATA
CUS0092,Amber Conner,66,MALE,Nor,Fixed,Man,26-12-2024,EXTRA_DATA
CUS0093,Paul Dominguez,59,F,Raise,NRI,Serious,02-11-2022,EXTRA_DATA
CUS0094,Krista Ray,54,m,Single,Fixed,Way,21/11/2024,EXTRA_DATA
CUS0095,Melissa Hall,31,male,Way,Savings,Politics,12-10-2022,EXTRA_DATA
CUS0096,Jerry Soto,66,female,Adult,Current,School,10/06/2023,EXTRA_DATA
CUS0097,Darryl Bailey,32,FEMALE,Party,Current,Watch,08/04/2022,EXTRA_DATA
CUS0098,Lisa Johnson,31,Male,Recently,Savings,Range,03/07/2022,EXTRA_DATA
CUS0099,  Kathryn Shannon  ,28,Other,Special,Savings,Increase,16-07-2022,EXTRA_DATA
CUS0100,Marcus Johnson,37,M,Blood,Current,Rise,11/07/2022,EXTRA_DATA
CUS0101,Tammy Anderson,27,Male,While,Savings,Represent,17-11-2023,EXTRA_DATA
CUS0102,Brian Reyes,54,MALE,Former,Fixed,Small,2024-03-27,EXTRA_DATA
CUS0078,Adam Greene,40,MALE,Room,Savings,Town,02/02/2022,EXTRA_DATA
CUS0104,Kimberly Rose,43,F,War,Fixed,Certainly,06/11/2024,EXTRA_DATA
CUS0105,Holly Mcdaniel,44,M,Wish,Savings,Manager,22/10/2023,EXTRA_DATA
CUS0106,Zoe Brown,29,MALE,Necessary,Savings,Deal,24/01/2022,EXTRA_DATA
CUS0107,Nichole Dorsey,43,Male,Wear,Current,Election,2022-12-12,EXTRA_DATA
CUS0108,Cynthia Jacobs,80,Other,Set,Current,Ground,04-01-2022,EXTRA_DATA
CUS0109,Robert Mitchell,43,FEMALE,Ten,Savings,Field,19-02-2024,EXTRA_DATA
CUS0110,Kenneth Perry,80,FEMALE,Listen,Savings,Skin,15-06-2022,EXTRA_DATA
CUS0111,Ricky Bullock,45,Female,Opportunity,NRI,Chair,2023-10-08,EXTRA_DATA
CUS0112,Michael Johnson,30,m,Anyone,Current,Western,22/09/2022,EXTRA_DATA
CUS0113,Angela Roberts,21,Other,Past,savings,Up,2022-06-06,EXTRA_DATA
CUS0114,Christian Sanchez,65,F,But,Fixed,Old,14-01-2022,EXTRA_DATA
CUS0115,  Brent Nguyen  ,79,Female,Care,NRI,Clear,29/12/2023,EXTRA_DATA
CUS0116,Zachary Ferguson,64,Male,Worker,Savings,Send,2022-12-22,EXTRA_DATA
CUS0117,Emily Mcclain,Thirty Four,m,Baby,Savings,Anything,17/02/2024,EXTRA_DATA
CUS0118,Renee Morgan,34,MALE,Challenge,NRI,Early,06/10/2023,EXTRA_DATA
CUS0119,Susan Martinez,28,M,Life,Fixed,Cup,30/04/2022,EXTRA_DATA
CUS0120,Angelica Young,28,male,Near,NRI,Close,2023-02-08,EXTRA_DATA
CUS0121,Shaun Baker,57,m,Say,Current,Month,05-06-2023,EXTRA_DATA
CUS0122,Andrew Watson,46,Male,Would,Savings,Student,09/14/2023,EXTRA_DATA
CUS0123,Amanda Oneill,57,Female,Something,NRI,History,01-01-2022,EXTRA_DATA
CUS0124,Tina Collier,54,female,Son,Current,Late,10/02/2024,EXTRA_DATA
CUS0125,  Kathryn Steele  ,28,female,Senior,Current,Rock,08-06-2023,EXTRA_DATA
CUS0126,Christopher Clayton,46,F,Season,NRI,Rest,08-04-2022,EXTRA_DATA
CUS0127,Gregory Scott,52,M,Memory,Fixed,Company,27/07/2023,EXTRA_DATA
CUS0128,Theodore Choi,53,F,Fly,NRI,Local,2024-11-23,EXTRA_DATA
CUS0129,Erin George,26,FEMALE,If,NRI,Election,07-05-2022,EXTRA_DATA
CUS0130,Jennifer Davis,25,Male,Themselves,Fixed,Film,2022-04-26,EXTRA_DATA
CUS0131,David Shepherd,58,FEMALE,Fire,Savings,Side,30/01/2022,EXTRA_DATA
CUS0132,Arthur Burke,72,MALE,Agree,Current,Case,22-06-2024,EXTRA_DATA
CUS0133,  Ann Knox  ,31,FEMALE,Paper,Fixed,Year,31/07/2022,EXTRA_DATA
CUS0134,Christian Foster,150,m,Pass,Current,On,2022-05-10,EXTRA_DATA
CUS0135,Ashley Garza,39,m,Various,Current,Blue,2023-09-18,EXTRA_DATA
CUS0136,Cynthia Spencer,58,Female,The,Fixed,Admit,10/15/2024,EXTRA_DATA
CUS0137,Timothy Freeman,38,Male,Animal,Savings,Loss,13-06-2024,EXTRA_DATA
CUS0138,Melanie Oconnell,51,m,Room,Current,Professional,2024-07-23,EXTRA_DATA
CUS0139,Autumn Barton,68,MALE,Opportunity,Savings,Every,08/30/2024,EXTRA_DATA
CUS0140,Joshua Robles,42,Female,Will,nri,Receive,24-04-2022,EXTRA_DATA
CUS0141,Brett Nelson,48,Female,There,Fixed,Whose,2023-10-30,EXTRA_DATA
CUS0142,Angela Bright,41,F,Nearly,Fixed,Week,06/18/2022,EXTRA_DATA
CUS0143,  Juan Ramos  ,42,male,Doctor,Savings,Room,04/12/2022,EXTRA_DATA
CUS0144,Dean Nguyen,59,M,Officer,NRI,Step,2022-02-10,EXTRA_DATA
CUS0145,Carl Hoffman,67,male,Think,NRI,Foreign,2023-02-09,EXTRA_DATA
CUS0146,Cory Jacobs,44,Male,Remain,Fixed,Worker,2024-10-28,EXTRA_DATA
CUS0147,Jeremy Jimenez,22,M,Street,Savings,Management,21-06-2024,EXTRA_DATA
CUS0148,Matthew Kirby,24,F,Amount,Current,Interest,2022-12-15,EXTRA_DATA
CUS0149,  Linda Jenkins  ,44,F,Wish,fixed,Particularly,2024-04-02,EXTRA_DATA
CUS0150,Samantha Cain,23,M,Know,Savings,Local,06-04-2022,EXTRA_DATA
CUS0151,  Nicholas Garcia  ,32,Male,Listen,Current,Recent,24/05/2023,EXTRA_DATA
CUS0152,Jacqueline Johnson,33,M,Top,NRI,Majority,23/03/2024,EXTRA_DATA
CUS0153,Tanya Jones,25,m,Bank,Savings,As,07/07/2022,EXTRA_DATA
CUS0154,James Buckley,19,MALE,Loss,NRI,Child,08-10-2024,EXTRA_DATA
CUS0155,Taylor Mcdonald,22,m,Just,Current,This,2023-05-03,EXTRA_DATA
CUS0156,Jennifer Long,20,Other,Family,NRI,Everyone,2022-08-23,EXTRA_DATA
CUS0157,Michael Ball,18,MALE,He,savings,Commercial,04-11-2023,EXTRA_DATA
CUS0158,Bryan Reynolds,33,F,East,NRI,I,12/16/2024,EXTRA_DATA
INVALID_26,  Anna Kennedy  ,41,Female,Human,Fixed,Will,2024-11-05,EXTRA_DATA
CUS0160,Joshua May,59,FEMALE,Father,nri,None,12/26/2024,EXTRA_DATA
CUS0161,Carl Miller,23,F,Finish,Current,Always,2023-08-06,EXTRA_DATA
CUS0162,Kimberly Nguyen,76,female,Professional,NRI,Several,17-04-2022,EXTRA_DATA
CUS0163,Jaime Cox,19,m,Us,Savings,Require,21/11/2023,EXTRA_DATA
CUS0164,David Rodriguez,61,FEMALE,Off,Current,Hope,2022-01-28,EXTRA_DATA
CUS0165,Rachel Levy,45,Female,Trial,Fixed,Traditional,19-09-2024,EXTRA_DATA
CUS0166,Kim Wyatt,35,Female,Commercial,Savings,Analysis,15/06/2023,EXTRA_DATA
CUS0167,Tammie Kim,64,female,They,Current,How,2022-06-22,EXTRA_DATA
CUS0168,  Nicole Roberson  ,46,Female,Purpose,Current,Arrive,2022-01-14,EXTRA_DATA
CUS0169,Shane Brady,75,m,First,current,Baby,22/03/2022,EXTRA_DATA
CUS0170,Jason Sanchez,77,FEMALE,Lawyer,Fixed,Financial,07/29/2023,EXTRA_DATA
CUS0171,Tracy Maynard,69,FEMALE,Hard,Savings,Man,16/03/2024,EXTRA_DATA
CUS0172,Tammy Ray,18,male,Whether,fixed,Choose,18-10-2023,EXTRA_DATA
CUS0173,Billy Hoffman,79,Female,Author,NRI,Bag,18/11/2022,EXTRA_DATA
CUS0174,  Robert Lee  ,150,MALE,Fast,Fixed,Grow,05/01/2022,EXTRA_DATA
CUS0175,Robert Carey,19,M,Blue,Savings,To,19-01-2024,EXTRA_DATA
CUS0176,Jonathan Moyer,31,M,Claim,Savings,Improve,05-07-2023,EXTRA_DATA
CUS0177,Brian Pope,37,Male,Fund,Current,True,03/15/2023,EXTRA_DATA
INVALID_99,Debbie Bush,74,FEMALE,Measure,Current,However,2023-05-16,EXTRA_DATA
CUS0179,Leslie Davis,47,m,Live,Fixed,Draw,06/07/2024,EXTRA_DATA
INVALID_12,Travis Mendez,68,Female,Bar,Savings,Describe,23-11-2023,EXTRA_DATA
CUS0181,Dennis Bryant,72,FEMALE,Campaign,Fixed,Election,03/09/2024,EXTRA_DATA
CUS0141,Charles Bray,19,female,Consider,Current,Picture,03/06/2023,EXTRA_DATA
CUS0183,Ashley Evans,43,female,Base,Current,Race,03/09/2024,EXTRA_DATA
CUS0184,Anne Brewer,Thirty Four,m,Responsibility,fixed,Air,2023-07-09,EXTRA_DATA
CUS0185,Alexis Clark,42,male,Choice,Fixed,When,06/08/2023,EXTRA_DATA
CUS0186,Alexander Sharp,64,female,Wide,Current,After,11/25/2023,EXTRA_DATA
CUS0187,Mary Taylor,70,F,Land,Savings,Trial,16/05/2024,EXTRA_DATA
CUS0188,Randy Park,23,male,Billion,Fixed,Truth,2022-04-09,EXTRA_DATA
CUS0189,Eric Phillips,60,male,Director,Current,Play,24/12/2022,EXTRA_DATA
CUS0190,Bobby Mcclain,63,Other,Start,NRI,Including,2023-01-16,EXTRA_DATA
CUS0191,  Scott Rodriguez  ,22,female,Large,Current,Strategy,2024-12-05,EXTRA_DATA
CUS0192,Rachel Morrison,150,FEMALE,Part,NRI,Dog,11-05-2022,EXTRA_DATA
CUS0193,  Edward Adams  ,60,M,Term,Current,Maintain,11/18/2024,EXTRA_DATA
CUS0194,Donald Washington,33,female,Consumer,Current,Town,09/18/2023,EXTRA_DATA
CUS0195,Brian Freeman,19,F,Speech,NRI,Case,2024-01-24,EXTRA_DATA
CUS0196,Jacqueline Chase,Twenty,female,Political,NRI,Involve,2023-06-11,EXTRA_DATA
INVALID_96,Patricia Shepherd,80,Other,Senior,Fixed,Former,04/20/2023,EXTRA_DATA
CUS0074,Stacy Hall,68,Male,Well,NRI,Officer,2024-05-15,EXTRA_DATA
CUS0199,Micheal Mitchell,27,male,Happen,Current,Executive,01/28/2022,EXTRA_DATA
CUS0200,Kelly Brooks,40,F,Enjoy,NRI,Whether,25/12/2024,EXTRA_DATA
CUS0201,Mason Chambers,53,Male,International,Fixed,Wrong,09/07/2022,EXTRA_DATA
CUS0202,David Larson,25,M,Candidate,Fixed,Arm,28-01-2024,EXTRA_DATA
CUS0203,Alex Newman,19,M,Leg,Fixed,Reach,15-11-2023,EXTRA_DATA
CUS0204,Patrick Taylor,42,male,Here,Fixed,Action,10/19/2022,EXTRA_DATA
CUS0205,Robert Smith,35,MALE,Wind,Current,Blue,2023-01-10,EXTRA_DATA
CUS0206,Lisa Parker,65,Other,Seat,CURRENT,Eight,06/04/2024,EXTRA_DATA
CUS0207,Alexander Zuniga,35,MALE,Drive,Fixed,Into,10/23/2023,EXTRA_DATA
CUS0208,Francisco Stewart,40,Male,Forward,Savings,Child,2022-12-01,EXTRA_DATA
CUS0209,Sheila Young,73,F,Have,NRI,Treatment,11/18/2023,EXTRA_DATA
CUS0210,Brooke Rodriguez,23,m,Discuss,Current,Professional,05/11/2023,EXTRA_DATA
CUS0211,Matthew Williams,45,m,Material,NRI,Draw,2024-04-15,EXTRA_DATA
CUS0212,Amanda Lewis,Twenty,Other,North,Current,Move,2024-11-28,EXTRA_DATA
CUS0213,Jessica Burns,45,FEMALE,Land,NRI,House,21/04/2022,EXTRA_DATA
CUS0214,Jason Moore,28,F,Section,Current,Move,2022-02-23,EXTRA_DATA
CUS0215,Ryan Crane,78,Other,Week,Fixed,Analysis,16/01/2022,EXTRA_DATA
CUS0216,Ana English,61,Other,Sense,CURRENT,There,01-11-2024,EXTRA_DATA
CUS0217,Justin Howard,79,Female,Body,NRI,During,2022-08-27,EXTRA_DATA
CUS0218,Heidi Juarez,69,Other,Authority,NRI,Offer,28/03/2022,EXTRA_DATA
CUS0219,Eddie Lewis,40,m,This,NRI,Skin,2024-09-24,EXTRA_DATA
CUS0220,Nicole Hanson,38,M,Within,Savings,That,13-07-2024,EXTRA_DATA
CUS0221,Mark Nelson,31,FEMALE,Question,Savings,Use,04/08/2023,EXTRA_DATA
CUS0222,Thomas Meza,50,Other,Customer,NRI,Talk,02/03/2024,EXTRA_DATA
CUS0223,Rachel Rodriguez,56,female,Than,Fixed,Star,2023-08-08,EXTRA_DATA
CUS0224,Veronica Pearson,37,female,Weight,NRI,Message,03-01-2022,EXTRA_DATA
CUS0188,Ronnie Snyder,65,FEMALE,Fill,NRI,Fire,29/11/2024,EXTRA_DATA
CUS0226,James Steele,79,MALE,Stage,Fixed,School,24-09-2023,EXTRA_DATA
CUS0227,Christopher Preston,79,Male,Focus,Savings,Too,13-10-2023,EXTRA_DATA
CUS0228,Christine Gardner,Sixty Five,F,Beautiful,Fixed,Out,27/01/2023,EXTRA_DATA
CUS0228,Matthew Romero,52,MALE,Available,Savings,Open,15/07/2024,EXTRA_DATA
CUS0230,Christina Edwards,24,FEMALE,Officer,Savings,By,10/13/2022,EXTRA_DATA
CUS0231,Mark Levine,45,m,Style,Fixed,Feel,2024-03-29,EXTRA_DATA
CUS0232,Daniel Wolfe,31,MALE,Front,Savings,Bad,22-05-2023,EXTRA_DATA
CUS0233,Jeremy Weaver,18,FEMALE,Ask,Savings,Six,2022-07-01,EXTRA_DATA
CUS0234,Jacob Johnson,22,FEMALE,Use,Fixed,Take,2024-05-10,EXTRA_DATA
INVALID_14,Taylor West,77,female,Bed,Savings,Specific,08/16/2022,EXTRA_DATA
CUS0236,Mary Fletcher,36,m,Act,Savings,Area,2024-02-18,EXTRA_DATA
CUS0237,Ronnie Wu,28,FEMALE,Service,Savings,Ever,2022-12-06,EXTRA_DATA
CUS0238,Paul Freeman,45,Male,Parent,Current,Situation,2022-02-06,EXTRA_DATA
CUS0239,Bill Roberts,32,Other,Boy,NRI,Major,08-08-2024,EXTRA_DATA
CUS0240,Sophia Hunt,36,Female,Process,NRI,Accept,22/06/2024,EXTRA_DATA
CUS0241,Kellie Griffin,23,Male,Easy,NRI,Watch,2023-01-22,EXTRA_DATA
CUS0242,Darrell Garrett,31,FEMALE,Western,Fixed,Key,02-02-2024,EXTRA_DATA
CUS0243,Kristen Johnson,62,Other,Push,Savings,Suddenly,13/07/2022,EXTRA_DATA
CUS0244,Kelsey Bowman,59,M,Nice,CURRENT,Appear,2023-11-10,EXTRA_DATA
CUS0245,Carla Taylor,37,Other,Race,Current,Consumer,08/12/2024,EXTRA_DATA
CUS0246,Zachary Smith,50,M,Kitchen,NRI,School,03/23/2024,EXTRA_DATA
CUS0206,Matthew Woods,73,F,Mission,Savings,Recognize,28-05-2022,EXTRA_DATA
CUS0248,Clarence Burns,19,Female,Meet,NRI,These,2022-06-30,EXTRA_DATA
CUS0249,  Angela Watts  ,44,M,Figure,Savings,Fall,13/09/2022,EXTRA_DATA
CUS0250,Nicole Ochoa,73,m,Work,Current,Various,21-12-2022,EXTRA_DATA
CUS0251,Jose Moses,35,Other,Suffer,Current,Citizen,2023-11-08,EXTRA_DATA
CUS0252,Andre Young,70,F,Billion,Savings,Window,24/05/2022,EXTRA_DATA
CUS0253,Jeffrey Sweeney,76,male,Career,Current,Present,23/02/2022,EXTRA_DATA
CUS0254,Courtney Campbell,32,Other,Morning,NRI,Anyone,2022-11-19,EXTRA_DATA
CUS0255,Margaret Smith,67,m,Two,NRI,Suffer,10/30/2024,EXTRA_DATA
CUS0256,Cynthia Duncan,73,female,Modern,Savings,Three,02/19/2024,EXTRA_DATA
CUS0257,Matthew Nichols,65,Other,Day,Savings,Debate,22-08-2023,EXTRA_DATA
CUS0258,Elizabeth Davis,23,F,Clearly,Savings,Situation,2022-04-18,EXTRA_DATA
CUS0259,Paige Warren,64,F,Minute,Savings,Know,16-04-2023,EXTRA_DATA
CUS0260,Linda Romero,35,MALE,Finish,NRI,Cell,11/04/2024,EXTRA_DATA
CUS0261,Joseph Roberts,34,male,Authority,Current,Sense,22-12-2024,EXTRA_DATA
CUS0262,Karen Armstrong,22,m,Physical,NRI,Front,26/08/2024,EXTRA_DATA
CUS0263,Amanda Barker,21,female,No,Fixed,House,29/06/2023,EXTRA_DATA
CUS0264,Christopher Stone,61,F,Item,Current,Artist,2023-11-05,EXTRA_DATA
CUS0265,Wanda Long,39,male,Expect,Fixed,Floor,15/06/2024,EXTRA_DATA
INVALID_37,Kendra Ortega,58,FEMALE,Environmental,NRI,Responsibility,02-12-2024,EXTRA_DATA
CUS0267,Jimmy Jackson,54,male,Big,Fixed,Bad,17-11-2024,EXTRA_DATA
CUS0268,Nicholas Young,34,male,A,Fixed,Tree,13-02-2023,EXTRA_DATA
CUS0269,Joshua Richard,53,male,Read,Savings,Whom,2022-02-10,EXTRA_DATA
CUS0270,Janet Williams,39,male,Must,NRI,Again,03/16/2022,EXTRA_DATA
CUS0271,Jacob Khan,34,F,Kitchen,NRI,Large,07/05/2023,EXTRA_DATA
CUS0272,  Andrea Castaneda  ,56,F,Social,Current,Major,24/01/2022,EXTRA_DATA
CUS0273,Monica Flores,66,M,Add,Savings,Way,29-09-2024,EXTRA_DATA
CUS0274,Gina Jarvis,62,female,Go,Current,Young,06/06/2024,EXTRA_DATA
CUS0275,Jesse Stewart,Twenty,M,Side,Savings,Suggest,03/04/2023,EXTRA_DATA
CUS0276,Harry Stewart,37,FEMALE,Shake,Fixed,Senior,03/24/2024,EXTRA_DATA
CUS0277,Malik Miles,62,F,Wrong,Fixed,Trouble,22-04-2024,EXTRA_DATA
CUS0278,  Brett Kim  ,150,male,When,Savings,Nor,06-04-2022,EXTRA_DATA
CUS0279,  Gregory Graham  ,70,m,National,Savings,Involve,06/19/2022,EXTRA_DATA
CUS0280,Nathan Sosa,72,male,Huge,Fixed,Because,16-09-2024,EXTRA_DATA
CUS0281,Robert Alexander,79,male,Call,Fixed,Senior,15/12/2022,EXTRA_DATA
CUS0282,Daniel Thompson,57,M,Color,Savings,Throw,05/05/2022,EXTRA_DATA
CUS0283,Kenneth Gillespie,34,Male,Thank,NRI,Whose,30-08-2023,EXTRA_DATA
CUS0284,Dylan Velasquez,22,m,Phone,NRI,Worker,2022-12-10,EXTRA_DATA
CUS0285,  James Brooks  ,57,male,International,Fixed,Nor,13-05-2023,EXTRA_DATA
CUS0286,Shawn Stephens,79,Male,Remember,Savings,West,26-11-2022,EXTRA_DATA
CUS0287,  Theresa Marshall  ,25,MALE,Firm,Savings,Style,26/09/2022,EXTRA_DATA
CUS0288,Jeffrey Moreno,80,Female,Able,Savings,Front,29-10-2022,EXTRA_DATA
CUS0289,Jonathan Hendricks,79,F,Although,NRI,Staff,08/22/2023,EXTRA_DATA
CUS0272,Amber Cordova,56,female,Phone,Savings,Performance,07/15/2023,EXTRA_DATA
