StudentID,Name,Age,Gender,EnrollmentDate,CourseID,HospitalID,Status,ExtraColumn
STU0092,Luis Osborne,65,Female,07/29/2023,COU0003,HOS0006,Dropped,EXTRA_DATA
STU0093,Nathan Glenn,65,male,2023-08-01,COU0018,HOS0002,Graduated,EXTRA_DATA
INVALID_71,Jeffery Ross,69,F,08-03-2024,COU0005,HOS0013,graduated,EXTRA_DATA
STU0095,Krista Frank,69,m,01-12-2022,COU0004,HOS0015,Active,EXTRA_DATA
STU0096,Angelica Orr,37,Male,30-01-2023,COU0015,HOS0002,Active,EXTRA_DATA
STU0097,  Michael Perry  ,29,F,11-11-2024,COU0012,HOS9999,Dropped,EXTRA_DATA
STU0098,David Pollard,46,Other,13-01-2023,COU0012,HOS0005,Suspended,EXTRA_DATA
STU0099,Amanda Harrington,69,F,22/05/2023,COU0005,HOS0002,Graduated,EXTRA_DATA
STU0100,Theresa Lopez,36,female,07/01/2023,COU0002,HOS0008,Graduated,EXTRA_DATA
STU0101,Christopher Pierce,76,Male,07/09/2023,COU0010,HOS0008,Active,EXTRA_DATA
STU0102,Kevin Thompson,150,Male,08/28/2024,COU0014,HOS0002,ACTIVE,EXTRA_DATA
STU0103,Daniel Griffith,Twenty,m,01-06-2024,COU0013,HOS0001,Graduated,EXTRA_DATA
STU0104,Andrew Neal,41,Female,02/18/2023,COU0001,HOS0014,Active,EXTRA_DATA
INVALID_72,William Vazquez,-5,MALE,08-08-2023,COU0005,HOS0014,Graduated,EXTRA_DATA
STU0106,Bianca Jensen,44,female,25/12/2023,COU0011,HOS0012,Suspended,EXTRA_DATA
STU0107,  Lindsey Santiago  ,49,Other,06/21/2024,COU0004,HOS0005,Graduated,EXTRA_DATA
STU0108,Robert Smith,46,m,12/20/2024,COU0016,HOS9999,Active,EXTRA_DATA
STU0064,  Sarah Farrell  ,22,F,10/05/2022,COU0001,HOS0019,Graduated,EXTRA_DATA
INVALID_32,Bryan Bradford,72,female,30/03/2024,COU0020,HOS0016,Dropped,EXTRA_DATA
STU0111,Desiree Young,41,Male,16-07-2023,COU0001,HOS0012,Suspended,EXTRA_DATA
STU0112,John Murphy,37,Male,16/10/2022,COU0014,HOS0014,ACTIVE,EXTRA_DATA
STU0113,Margaret Hunter,51,male,06/16/2023,COU0013,HOS0011,Dropped,EXTRA_DATA
STU0114,John Moran,46,m,25-01-2022,COU0004,HOS0016,Graduated,EXTRA_DATA
STU0115,Phillip Bradford,38,F,03/09/2022,COU0002,HOS0017,Dropped,EXTRA_DATA
STU0116,Jennifer Anthony,59,M,10/01/2022,COU0010,HOS0007,Dropped,EXTRA_DATA
STU0117,Holly Thompson,27,F,26/02/2023,COU0007,HOS0013,Suspended,EXTRA_DATA
STU0035,Daniel Watkins,71,m,12/31/2022,COU0013,HOS0012,Dropped,EXTRA_DATA
STU0119,Marvin Oconnor,47,MALE,18/11/2024,COU0010,HOS0017,Dropped,EXTRA_DATA
STU0120,Thomas Williams,42,F,12/07/2023,COU0006,HOS0005,Suspended,EXTRA_DATA
STU0121,Jason Mckenzie,40,FEMALE,17-07-2024,COU0003,HOS0008,Graduated,EXTRA_DATA
STU0122,Denise Washington,54,MALE,2024-01-21,COU0007,HOS0011,Graduated,EXTRA_DATA
STU0123,Spencer Schaefer,64,FEMALE,13-09-2024,COU0018,HOS0005,Active,EXTRA_DATA
STU0124,Kathryn Adams,50,m,2023-03-25,COU0006,HOS0020,Suspended,EXTRA_DATA
STU0125,  Jerry Perez  ,26,Male,08/11/2022,COU0007,HOS0017,Suspended,EXTRA_DATA
STU0126,Randy Trujillo,23,Other,2024-12-19,COU0017,HOS0006,Suspended,EXTRA_DATA
STU0127,Barbara Jennings,37,MALE,09/04/2022,COU0002,HOS0008,Suspended,EXTRA_DATA
STU0128,  Jennifer Torres  ,73,m,02/10/2023,COU0015,HOS0004,Active,EXTRA_DATA
STU0129,Roger Bell,54,m,19-05-2024,COU0001,HOS0006,Suspended,EXTRA_DATA
STU0130,Danielle Harvey,48,male,2022-06-10,COU0015,HOS0002,Suspended,EXTRA_DATA
STU0131,Rebecca Johnson,27,female,19-02-2023,COU0007,HOS0004,Suspended,EXTRA_DATA
STU0132,Kristi Lloyd,23,m,2023-12-02,COU0019,HOS0007,Dropped,EXTRA_DATA
STU0133,Tammy Warren,35,Male,31/10/2023,COU0001,HOS0002,Dropped,EXTRA_DATA
STU0134,James Davis,36,female,03/12/2022,COU0019,HOS0008,Active,EXTRA_DATA
STU0135,Charles Williams,68,Other,2022-08-07,COU0002,HOS0011,Active,EXTRA_DATA
STU0136,Jason Martinez,30,Female,2024-08-30,COU0006,HOS0011,Suspended,EXTRA_DATA
STU0137,James Hernandez,150,M,2022-10-14,COU0002,HOS0011,Graduated,EXTRA_DATA
STU0138,Kiara Williams,74,M,2022-10-13,COU0003,HOS0005,Suspended,EXTRA_DATA
STU0139,Sandra Warner,22,MALE,19/02/2024,COU0016,HOS0009,active,EXTRA_DATA
STU0140,Debra Ferguson,77,Male,05/19/2024,COU0001,HOS0018,Graduated,EXTRA_DATA
STU0141,Juan Paul,43,Male,13/12/2023,COU0003,HOS0003,Active,EXTRA_DATA
STU0142,Robert Norris,35,female,2023-04-10,COU0001,HOS0016,Dropped,EXTRA_DATA
STU0143,Keith Hahn,63,m,01-12-2023,COU0002,HOS0001,Suspended,EXTRA_DATA
STU0144,Angela Allen,67,FEMALE,02/13/2023,COU0007,HOS0020,GRADUATED,EXTRA_DATA
STU0145,Andrew Baxter,58,MALE,06/04/2023,COU0010,HOS0011,Graduated,EXTRA_DATA
STU0146,Gerald Dixon,54,FEMALE,2023-08-27,COU0011,HOS0004,Graduated,EXTRA_DATA
STU0147,Laura Mccarthy,66,F,13/04/2023,COU0003,HOS0006,Active,EXTRA_DATA
STU0148,Wayne Kent,46,Male,2024-01-18,COU0020,HOS9999,Graduated,EXTRA_DATA
STU0149,Jessica Hicks,Sixty Five,MALE,14/01/2022,COU0004,HOS0002,Suspended,EXTRA_DATA
STU0150,Mark Evans,54,female,19-04-2023,COU0014,HOS0020,Graduated,EXTRA_DATA
STU0151,  Collin Padilla  ,47,Female,02/04/2023,COU0014,HOS9999,Graduated,EXTRA_DATA
STU0152,Tammy Kelly,66,M,25-12-2024,COU0020,HOS0013,Graduated,EXTRA_DATA
STU0153,Pamela Davidson,21,F,12/10/2024,COU0015,HOS0011,Graduated,EXTRA_DATA
STU0154,Sean Sims,58,MALE,23-04-2024,COU0005,HOS0004,Graduated,EXTRA_DATA
STU0155,Danielle Buchanan,24,FEMALE,2022-08-30,COU0020,HOS0019,Graduated,EXTRA_DATA
STU0156,Greg Austin,62,male,2024-08-12,COU0016,HOS0014,Suspended,EXTRA_DATA
STU0157,Nicole Campbell,24,FEMALE,07/13/2024,COU0004,HOS0009,Suspended,EXTRA_DATA
STU0158,Michael Burton,0,m,20-04-2024,COU9999,HOS0016,Suspended,EXTRA_DATA
STU0159,William Smith,52,M,24/09/2024,COU0006,HOS0009,Dropped,EXTRA_DATA
STU0160,Charles Gomez,80,m,2023-04-10,COU0008,HOS0019,Dropped,EXTRA_DATA
STU0161,Melissa Drake,38,female,17/11/2022,COU0015,HOS0011,Active,EXTRA_DATA
STU0162,Raymond Robinson,27,MALE,13-06-2024,COU0007,HOS0007,Active,EXTRA_DATA
INVALID_72,David Lee,49,Female,06/10/2024,COU0007,HOS0006,graduated,EXTRA_DATA
STU0164,Mackenzie Tyler,33,Other,2024-04-08,COU0003,HOS0015,Graduated,EXTRA_DATA
STU0165,Carolyn Miller,41,Other,2023-01-04,COU0002,HOS0014,Active,EXTRA_DATA
STU0166,Jonathan Randall,40,male,2022-04-30,COU0013,HOS0008,Graduated,EXTRA_DATA
STU0167,Douglas Davis,37,m,2024-12-16,COU0007,HOS0005,Dropped,EXTRA_DATA
STU0168,  Ryan Martin  ,55,male,25/04/2023,COU0009,HOS0002,Dropped,EXTRA_DATA
STU0169,Michael Bernard,36,male,2023-04-29,COU0001,HOS0017,Dropped,EXTRA_DATA
STU0170,Frank Robinson,39,m,05/16/2022,COU0001,HOS0006,Active,EXTRA_DATA
STU0171,Daniel Blevins,73,Other,2022-08-06,COU0010,HOS0007,Dropped,EXTRA_DATA
STU0172,Alan Callahan,64,male,07/10/2022,COU0002,HOS0015,Graduated,EXTRA_DATA
STU0173,Emily Jackson,63,Male,28-07-2022,COU0001,HOS0001,Suspended,EXTRA_DATA
STU0174,Deborah Wilson,69,male,2024-06-15,COU0019,HOS0009,Active,EXTRA_DATA
STU0175,Cory Walters,75,male,03/15/2022,COU0007,HOS0007,Dropped,EXTRA_DATA
STU0176,Paul Williams,47,M,11/07/2023,COU0013,HOS0007,Active,EXTRA_DATA
STU0122,Sharon Morris,74,MALE,14-07-2024,COU0008,HOS0014,Suspended,EXTRA_DATA
STU0178,Angela Miller,27,FEMALE,29/01/2024,COU0007,HOS0012,Active,EXTRA_DATA
STU0179,Jenna May,19,MALE,14/05/2022,COU0005,HOS0013,Dropped,EXTRA_DATA
STU0180,Melissa Howard,37,Other,29/08/2024,COU0011,HOS0015,Dropped,EXTRA_DATA
STU0181,Derek Horton,25,MALE,24-12-2024,COU0016,HOS0017,Graduated,EXTRA_DATA
STU0182,Brandy Kim,79,Male,2024-06-03,COU0016,HOS0019,Active,EXTRA_DATA
STU0183,Stephanie Hernandez,62,female,09/02/2022,COU0016,HOS0004,Active,EXTRA_DATA
STU0184,Jacqueline Roman,25,Male,12/08/2023,COU0010,HOS9999,Dropped,EXTRA_DATA
STU0185,Danielle Joseph,21,m,01/22/2023,COU0016,HOS0002,Graduated,EXTRA_DATA
STU0186,Michael Terry,73,Other,2024-03-12,COU0005,HOS0007,Graduated,EXTRA_DATA
STU0187,  Stephanie Johnson  ,52,Other,02/10/2023,COU0011,HOS0016,Active,EXTRA_DATA
STU0188,Kim Mendez,Twenty,FEMALE,10/19/2024,COU0009,HOS0019,Graduated,EXTRA_DATA
STU0189,Aaron Ortiz,41,FEMALE,09/02/2024,COU0007,HOS0018,Active,EXTRA_DATA
STU0190,  Christopher Kent  ,21,MALE,27/07/2023,COU0020,HOS0012,Dropped,EXTRA_DATA
STU0191,Brian Stephenson,Sixty Five,Other,17-11-2022,COU0008,HOS0015,DROPPED,EXTRA_DATA
STU0192,Jessica Welch,59,Other,09/04/2023,COU9999,HOS0020,Active,EXTRA_DATA
STU0193,Brittany Howard,27,Other,07/13/2022,COU0016,HOS0002,Dropped,EXTRA_DATA
STU0194,Michael Hernandez,80,F,28/11/2022,COU0017,HOS0006,Dropped,EXTRA_DATA
STU0195,Christine Byrd,18,Female,06/10/2024,COU0013,HOS0012,Active,EXTRA_DATA
STU0196,Joseph Waters,26,Female,31-05-2024,COU0016,HOS0017,Active,EXTRA_DATA
STU0197,William Callahan,25,Other,2024-07-16,COU0007,HOS0016,Dropped,EXTRA_DATA
STU0198,Daniel Flores,78,Male,10/19/2024,COU0004,HOS0012,SUSPENDED,EXTRA_DATA
STU0199,Gary Tanner,52,M,18-06-2023,COU0001,HOS0014,GRADUATED,EXTRA_DATA
STU0200,John Ross,42,MALE,2024-10-31,COU0006,HOS0010,Dropped,EXTRA_DATA
STU0201,  Michelle Torres  ,26,F,02-12-2024,COU0008,HOS0003,Graduated,EXTRA_DATA
STU0202,Michael Walker,51,Other,2023-01-20,COU0014,HOS0008,Active,EXTRA_DATA
STU0203,John Curtis,75,Female,04/10/2022,COU0006,HOS0018,Active,EXTRA_DATA
STU0204,Rebecca Taylor,37,FEMALE,14-06-2024,COU0015,HOS0012,Suspended,EXTRA_DATA
STU0205,William Hunt,45,Other,04/15/2022,COU0011,HOS0006,Dropped,EXTRA_DATA
STU0206,Brian Green,27,Female,02-06-2022,COU0016,HOS0008,Active,EXTRA_DATA
STU0207,Julia Miles,21,Male,31-03-2024,COU0003,HOS0016,Graduated,EXTRA_DATA
STU0208,Jerry Spencer,57,m,01/22/2023,COU0011,HOS0006,Dropped,EXTRA_DATA
STU0209,Heather Jones,37,M,28-12-2022,COU0009,HOS0006,Suspended,EXTRA_DATA
STU0210,Benjamin Preston,23,female,2023-10-12,COU0006,HOS9999,Dropped,EXTRA_DATA
STU0211,Jennifer Richardson,28,male,2022-03-17,COU0003,HOS0001,Suspended,EXTRA_DATA
STU0212,Stephanie Griffin,34,F,03/30/2022,COU0020,HOS0018,SUSPENDED,EXTRA_DATA
STU0161,Jessica Price,80,male,23/12/2022,COU0012,HOS0015,Active,EXTRA_DATA
STU0214,Kathy Mitchell,61,Other,2023-10-02,COU0007,HOS0007,Graduated,EXTRA_DATA
STU0215,Cheyenne Avila,50,m,28-02-2022,COU0020,HOS0003,Suspended,EXTRA_DATA
STU0216,Andrew Pope,79,M,2023-09-24,COU9999,HOS0017,Graduated,EXTRA_DATA
STU0217,Olivia Blackburn,30,male,02/10/2022,COU0019,HOS0005,Graduated,EXTRA_DATA
STU0218,Christopher Simmons,78,FEMALE,31/03/2024,COU0020,HOS0020,Dropped,EXTRA_DATA
STU0219,Julie Wilkinson,43,female,01/13/2024,COU0002,HOS0005,Dropped,EXTRA_DATA
STU0220,Tara Taylor,43,FEMALE,2024-02-27,COU0016,HOS0006,Graduated,EXTRA_DATA
STU0221,James Dean,54,female,05/21/2024,COU0005,HOS0020,Dropped,EXTRA_DATA
STU0222,Aaron Blevins,34,Male,23-01-2024,COU0019,HOS0007,Active,EXTRA_DATA
STU0119,  Charles Williams  ,23,Other,21/02/2023,COU0015,HOS0005,Active,EXTRA_DATA
STU0224,Hunter Cooke,65,Other,08/13/2022,COU0006,HOS0004,Active,EXTRA_DATA
STU0225,Justin Mccarty,35,F,22/07/2022,COU0014,HOS0011,Graduated,EXTRA_DATA
STU0226,Joseph Watson,74,Other,08-05-2022,COU0003,HOS0020,Dropped,EXTRA_DATA
STU0227,Carl Reyes,72,F,2022-05-05,COU0011,HOS0010,Graduated,EXTRA_DATA
STU0228,Kristopher Wilcox,47,male,2022-12-28,COU0003,HOS0005,ACTIVE,EXTRA_DATA
STU0229,Charlene Frazier,64,male,11/15/2024,COU0016,HOS0005,Suspended,EXTRA_DATA
STU0230,Jon Blevins,43,MALE,30-05-2022,COU0002,HOS0016,Dropped,EXTRA_DATA
STU0231,Keith Hall,44,Female,2022-03-25,COU0005,HOS0003,Suspended,EXTRA_DATA
STU0232,Christopher Green,72,female,2024-01-31,COU0015,HOS0013,Suspended,EXTRA_DATA
STU0233,Cameron Patton,45,Other,16-11-2022,COU0017,HOS0020,Suspended,EXTRA_DATA
STU0234,Michele Bond,21,Female,2023-01-09,COU0009,HOS0005,Active,EXTRA_DATA
STU0235,Jessica Simmons,59,Male,07/17/2024,COU0015,HOS0010,Active,EXTRA_DATA
STU0236,Shane Garrett,26,male,03/21/2023,COU0015,HOS0005,Suspended,EXTRA_DATA
STU0237,Andre Smith,20,Other,2024-12-02,COU0013,HOS0003,Suspended,EXTRA_DATA
STU0238,Joyce Coleman,27,Female,12-07-2023,COU0003,HOS0012,ACTIVE,EXTRA_DATA
STU0239,Robert Fisher,40,FEMALE,10-07-2022,COU0001,HOS0010,Graduated,EXTRA_DATA
STU0240,Linda Small,66,M,08/21/2023,COU0005,HOS0014,Dropped,EXTRA_DATA
STU0241,Lisa Marshall,43,male,2024-05-03,COU0005,HOS0010,Active,EXTRA_DATA
STU0242,Charles Martinez,78,MALE,08/11/2023,COU0004,HOS0011,Suspended,EXTRA_DATA
STU0243,Peggy Norman,54,F,11/16/2024,COU0019,HOS0004,Dropped,EXTRA_DATA
STU0244,Pamela Salazar,54,Female,05/30/2022,COU0006,HOS0004,Suspended,EXTRA_DATA
STU0245,Patrick Nichols,47,M,2023-04-28,COU0019,HOS0010,Graduated,EXTRA_DATA
STU0246,  Amanda Burnett  ,37,FEMALE,02/03/2024,COU0004,HOS0015,Graduated,EXTRA_DATA
INVALID_8,Jill Johnson,46,M,15/10/2022,COU0018,HOS0019,Suspended,EXTRA_DATA
STU0248,  Jennifer Carter  ,70,F,15-02-2022,COU0006,HOS0012,Suspended,EXTRA_DATA
STU0249,Rachel Ellis,20,Female,26-08-2023,COU9999,HOS0011,Dropped,EXTRA_DATA
STU0250,Christine Boyle,62,M,01/11/2022,COU0013,HOS0019,Active,EXTRA_DATA
STU0251,Michael Hancock,24,female,2023-10-09,COU0006,HOS0001,Active,EXTRA_DATA
STU0252,Tammy Walsh,150,F,26/10/2024,COU0016,HOS0008,Active,EXTRA_DATA
STU0253,Savannah Ortiz,78,Other,2024-12-14,COU0019,HOS0017,Active,EXTRA_DATA
STU0171,Diane Sherman,150,m,05/12/2023,COU0019,HOS0010,suspended,EXTRA_DATA
STU0255,Cathy Ramirez,39,Female,26/07/2024,COU0020,HOS0011,Dropped,EXTRA_DATA
STU0256,Mike Bell,65,female,04/07/2023,COU0010,HOS0002,Active,EXTRA_DATA
STU0257,Amber Baxter,18,MALE,2023-05-30,COU0002,HOS0020,Suspended,EXTRA_DATA
INVALID_3,Robert Kim,30,F,25/11/2023,COU0015,HOS0016,Graduated,EXTRA_DATA
STU0259,Taylor Curtis,22,Female,13/03/2023,COU0013,HOS0011,Dropped,EXTRA_DATA
STU0260,Jeremy Medina,77,Other,10/12/2023,COU0020,HOS0015,Graduated,EXTRA_DATA
STU0261,Michael Cruz,0,Other,08/09/2023,COU0016,HOS0009,Graduated,EXTRA_DATA
STU0262,Rachel Johnson,18,Other,2022-10-14,COU0009,HOS0013,Dropped,EXTRA_DATA
INVALID_87,William Hughes,34,Male,03/15/2022,COU0004,HOS0015,suspended,EXTRA_DATA
STU0264,  Alexandra Mcbride  ,80,Other,04/04/2024,COU0004,HOS9999,Dropped,EXTRA_DATA
STU0265,Jaclyn Scott,23,female,26-10-2022,COU0020,HOS0011,Suspended,EXTRA_DATA
STU0266,Kristen White,Twenty,Other,10/06/2024,COU0009,HOS9999,Dropped,EXTRA_DATA
STU0267,Cassidy Baker,62,male,05/10/2023,COU0004,HOS0020,Graduated,EXTRA_DATA
STU0268,David Miller,35,Female,09/03/2023,COU0007,HOS0015,Graduated,EXTRA_DATA
STU0269,Lauren Cannon,70,Other,06-05-2023,COU0011,HOS0005,Graduated,EXTRA_DATA
STU0270,Penny Jackson,23,m,29/07/2023,COU0019,HOS0010,Dropped,EXTRA_DATA
STU0271,Dana Wilkinson,45,male,2022-03-27,COU0008,HOS0005,Dropped,EXTRA_DATA
