FacultyID,Name,Specialization,CampusID,JoinDate
FAC0161,Work,Lecturer,CAM0018,28-02-2022
FAC0162,Remember,Professor,CAM0018,06/10/2024
FAC0061,My,Assistant Professor,CAM0006,2023-05-07
FAC0164,Democratic,Associate Professor,CAM0019,23-10-2023
FAC0165,West,Associate Professor,CAM9999,06/19/2024
FAC0166,Life,Lecturer,CAM0006,06/19/2022
FAC0167,Discussion,Assistant Professor,CAM0010,10/08/2024
FAC0168,Those,Professor,CAM0006,2022-05-18
FAC0169,Interview,Assistant Professor,CAM0017,01/09/2022
FAC0170,Call,Professor,CAM0014,04/28/2023
FAC0171,Pay,Lecturer,CAM0010,07-12-2024
FAC0172,Development,Lecturer,CAM0017,2023-02-24
FAC0073,These,Lecturer,CAM0003,2022-04-20
FAC0174,Sort,Lecturer,CAM0017,2024-01-24
FAC0175,Author,Professor,CAM0014,2023-01-02
FAC0176,Speech,Assistant Professor,CAM0019,15/03/2022
FAC0177,Price,Assistant Professor,CAM0010,2024-09-06
FAC0178,Character,Professor,CAM0008,20/10/2024
FAC0179,White,Professor,CAM0008,11/04/2024
FAC0180,A,Associate Professor,CAM0017,2024-03-26
FAC0181,Car,Professor,CAM0019,28-08-2023
FAC0182,Far,Assistant Professor,CAM0014,22/08/2023
FAC0183,All,Associate Professor,CAM0020,17-09-2024
FAC0184,Election,Assistant Professor,CAM0003,10-03-2022
FAC0185,Describe,Professor,CAM0019,2023-07-16
INVALID_51,Friend,Assistant Professor,CAM0009,14/01/2022
FAC0187,Avoid,Professor,CAM0011,02-12-2023
FAC0188,Bank,Associate Professor,CAM0002,2024-11-13
FAC0189,World,Assistant Professor,CAM0018,2024-06-29
FAC0190,Really,Assistant Professor,CAM0015,12/15/2022
FAC0191,While,Lecturer,CAM0009,2024-04-16
FAC0192,Candidate,Associate Professor,CAM0004,29-04-2024
FAC0193,Development,Professor,CAM0001,2024-02-06
FAC0194,Describe,Associate Professor,CAM0011,03/21/2022
FAC0014,Election,Lecturer,CAM0008,2024-09-01
FAC0196,Second,Lecturer,CAM0003,06/27/2023
FAC0197,Me,Associate Professor,CAM9999,17-06-2024
FAC0198,Gun,Associate professor,CAM0019,03-09-2023
FAC0199,Crime,Associate Professor,CAM0012,10/12/2022
FAC0200,Feeling,Associate Professor,CAM0006,08/22/2023
FAC0201,Friend,Lecturer,CAM0020,11/02/2023
FAC0202,Analysis,Lecturer,CAM0008,29-09-2024
FAC0203,Figure,Associate Professor,CAM0010,05/04/2022
FAC0204,List,Lecturer,CAM0020,2023-12-25
FAC0205,Build,Lecturer,CAM0010,03/03/2022
FAC0206,Become,Associate Professor,CAM0007,04/11/2022
FAC0207,Here,Professor,CAM0001,12/17/2023
FAC0208,Per,Lecturer,CAM0008,10/08/2022
FAC0209,In,Assistant Professor,CAM0011,18/12/2022
FAC0210,Herself,Assistant Professor,CAM0013,2023-05-01
FAC0211,Pressure,Assistant Professor,CAM0011,09/01/2022
FAC0212,Media,Professor,CAM0005,21/10/2024
FAC0213,Four,Assistant Professor,CAM0003,05-08-2022
FAC0214,Actually,Associate Professor,CAM0020,07/08/2022
FAC0215,Partner,Assistant Professor,CAM0012,25-04-2022
FAC0216,Laugh,Professor,CAM0010,20/09/2024
FAC0217,Brother,Lecturer,CAM0003,03/22/2024
FAC0218,Save,PROFESSOR,CAM0003,21-10-2024
FAC0219,Low,Professor,CAM0014,08/06/2022
FAC0220,Against,Assistant Professor,CAM0010,15/12/2023
FAC0221,Window,PROFESSOR,CAM0006,2022-10-06
FAC0222,Open,Assistant Professor,CAM0013,2024-04-22
FAC0223,Garden,Professor,CAM0009,16/05/2023
FAC0224,Organization,Lecturer,CAM0018,2024-04-08
FAC0225,Church,assistant professor,CAM0012,30-03-2022
FAC0226,Institution,Lecturer,CAM0001,2022-03-31
INVALID_35,Main,Professor,CAM0011,11/18/2024
FAC0228,Area,Lecturer,CAM0014,2023-11-29
FAC0229,Consider,Associate Professor,CAM0017,01/13/2024
INVALID_44,Brother,Assistant Professor,CAM0006,07/14/2023
FAC0231,Decision,Lecturer,CAM0015,28/01/2024
FAC0232,Purpose,Associate Professor,CAM0015,10/08/2024
FAC0233,Represent,Professor,CAM0019,09/10/2022
FAC0234,Throughout,Associate Professor,CAM0012,16/09/2022
FAC0235,Technology,Lecturer,CAM0005,2022-02-17
FAC0236,Appear,Lecturer,CAM0011,03/22/2024
FAC0237,True,Associate Professor,CAM0019,09/22/2022
FAC0238,Letter,Lecturer,CAM0008,2022-07-01
FAC0239,Music,Associate Professor,CAM0002,07/03/2022
FAC0240,Cut,lecturer,CAM0008,23/12/2023
FAC0241,Hear,Assistant Professor,CAM0017,27/03/2024
FAC0242,Case,Assistant Professor,CAM0014,03/26/2022
FAC0243,Film,Professor,CAM0014,2023-06-27
FAC0244,Fund,Assistant Professor,CAM0016,21-09-2023
FAC0245,Do,Professor,CAM0010,2023-01-01
FAC0246,Personal,Professor,CAM0004,07/26/2022
FAC0247,Couple,Lecturer,CAM0006,23-02-2024
FAC0248,Mention,lecturer,CAM0004,03/18/2024
FAC0249,All,Assistant Professor,CAM0020,17/04/2024
FAC0250,Force,Associate Professor,CAM0018,01/05/2023
FAC0251,Nature,Lecturer,CAM0003,12-02-2022
FAC0252,Nation,Assistant Professor,CAM0005,24-10-2022
FAC0253,Gas,Assistant Professor,CAM0005,30/05/2024
FAC0254,Develop,Associate Professor,CAM0002,08-06-2023
INVALID_14,Speak,Associate Professor,CAM0014,03/28/2022
FAC0256,Economic,Professor,CAM0005,07/28/2024
FAC0257,Short,Lecturer,CAM0013,29-07-2024
FAC0258,Significant,Lecturer,CAM0013,2023-01-05
FAC0259,House,Assistant Professor,CAM0003,07/31/2024
FAC0260,Shake,Associate Professor,CAM0010,23-05-2022
FAC0261,Those,Lecturer,CAM0013,2024-09-02
FAC0107,Issue,Professor,CAM0014,05/09/2022
FAC0263,Stop,Lecturer,CAM0014,27-12-2024
FAC0264,Trip,Associate Professor,CAM0004,16-12-2022
FAC0265,Option,Assistant Professor,CAM0004,2024-04-15
FAC0266,Dark,Lecturer,CAM0019,2023-09-28
FAC0267,Early,Lecturer,CAM0005,23-08-2023
FAC0268,Maintain,Lecturer,CAM0015,21-08-2022
FAC0269,Unit,Professor,CAM0015,2023-01-11
FAC0270,Fall,Assistant Professor,CAM0001,06/13/2023
FAC0271,Occur,Assistant Professor,CAM0014,10/09/2022
FAC0272,Believe,Assistant Professor,CAM0016,06/21/2024
FAC0273,Beyond,Lecturer,CAM0009,28-12-2024
FAC0274,Firm,Associate Professor,CAM0001,04/02/2023
FAC0275,Common,Professor,CAM0009,04/06/2022
FAC0276,Beyond,Associate Professor,CAM0017,06/22/2024
FAC0277,Action,Assistant Professor,CAM0019,2024-08-23
FAC0278,Floor,Lecturer,CAM0018,06/20/2024
FAC0279,Week,Lecturer,CAM0018,04/05/2024
FAC0280,Everybody,Associate Professor,CAM0005,02/12/2022
FAC0281,Fly,Associate Professor,CAM0002,2023-02-18
FAC0282,Rich,Assistant Professor,CAM0003,29-11-2022
FAC0283,Trade,Professor,CAM0008,2024-01-30
FAC0284,Eat,Assistant Professor,CAM0011,24/01/2024
FAC0285,Tough,Assistant Professor,CAM0007,05/05/2023
FAC0286,Gun,Associate professor,CAM0010,2022-11-10
FAC0287,World,Assistant Professor,CAM0017,03/29/2022
FAC0288,Raise,Associate Professor,CAM0015,18/04/2023
FAC0289,Television,Associate Professor,CAM0011,20/03/2022
FAC0005,Raise,Professor,CAM0002,09-03-2022
FAC0291,Myself,Lecturer,CAM0002,12/08/2023
FAC0292,Well,Professor,CAM0006,17-08-2024
FAC0293,In,Assistant Professor,CAM0018,11-03-2023
INVALID_71,Mrs,Professor,CAM0010,29-11-2023
FAC0295,Goal,professor,CAM0013,19/03/2022
FAC0296,Feeling,professor,CAM0008,2024-07-28
FAC0297,Second,Lecturer,CAM0002,2024-11-23
FAC0298,Officer,Assistant Professor,CAM0019,17-02-2023
FAC0299,Big,Lecturer,CAM0001,22/12/2022
FAC0300,With,Lecturer,CAM0004,26/03/2022
FAC0301,Black,Associate Professor,CAM0017,2024-03-03
FAC0302,Wait,Lecturer,CAM0017,03/08/2022
FAC0303,Side,Lecturer,CAM0016,2024-05-09
FAC0304,Significant,Assistant Professor,CAM0010,2024-09-11
FAC0139,Life,associate professor,CAM0017,10-05-2023
FAC0306,Thank,Associate Professor,CAM0018,24/03/2023
FAC0307,Country,Lecturer,CAM0011,19/06/2023
FAC0308,Task,Associate Professor,CAM0015,30/01/2024
FAC0309,Administration,Professor,CAM0018,06/02/2022
FAC0310,Hand,Assistant Professor,CAM0018,18/09/2023
FAC0311,Tree,Associate Professor,CAM0017,16-11-2022
FAC0312,Girl,Lecturer,CAM0014,05/06/2022
FAC0313,Probably,Professor,CAM0004,04/02/2022
FAC0314,Attack,Assistant Professor,CAM0018,24-07-2024
FAC0315,Piece,Assistant Professor,CAM0013,04/13/2022
FAC0316,Save,Professor,CAM0010,2023-10-13
FAC0317,Stage,Lecturer,CAM0015,2022-11-11
FAC0318,Lot,Associate Professor,CAM0009,01/04/2024
FAC0319,Event,Professor,CAM0006,2023-05-29
FAC0320,Here,associate professor,CAM0015,30-06-2023
FAC0321,Sometimes,Professor,CAM0019,2024-09-11
FAC0322,Meeting,Lecturer,CAM0018,2022-09-06
FAC0323,Member,Assistant Professor,CAM0015,2022-06-10
FAC0324,Finish,Professor,CAM0002,02-05-2022
FAC0067,Seat,Lecturer,CAM0002,09/11/2022
FAC0326,Bring,Lecturer,CAM0009,10-02-2024
FAC0327,Bring,ASSISTANT PROFESSOR,CAM0001,08/25/2023
FAC0328,Capital,Professor,CAM9999,11/10/2022
FAC0329,Interesting,Professor,CAM0006,24-10-2023
FAC0330,Create,Associate Professor,CAM0019,2024-11-29
FAC0331,Expert,Professor,CAM0020,09/28/2024
FAC0332,Trial,Lecturer,CAM0004,23/10/2022
FAC0333,Care,Lecturer,CAM0010,02/01/2023
FAC0334,Phone,Professor,CAM0019,16-05-2024
FAC0335,Range,Lecturer,CAM0009,06/22/2022
FAC0336,These,Assistant Professor,CAM0010,17-02-2024
FAC0337,Rich,lecturer,CAM0010,30-08-2023
FAC0338,Painting,Professor,CAM0014,08/21/2023
FAC0339,Sport,Associate Professor,CAM0019,2023-09-17
FAC0340,Up,Professor,CAM0002,03/20/2022
FAC0341,Black,Assistant Professor,CAM0017,01/10/2023
FAC0229,Thousand,Associate Professor,CAM0014,06/12/2023
FAC0343,Garden,LECTURER,CAM0017,02/25/2024
FAC0344,Memory,associate professor,CAM0015,28/12/2023
FAC0345,Idea,Associate Professor,CAM0014,2022-04-02
FAC0346,International,Lecturer,CAM0018,04/01/2022
FAC0347,Open,Associate Professor,CAM0004,28/02/2023
FAC0348,Popular,Assistant Professor,CAM0003,02/07/2023
FAC0349,Along,Associate Professor,CAM0016,25-08-2022
FAC0350,Heart,Lecturer,CAM0004,29-01-2024
FAC0351,Figure,Lecturer,CAM0010,18-01-2024
FAC0352,Nice,Lecturer,CAM0006,2022-12-01
FAC0353,Fly,Assistant Professor,CAM0018,08/01/2023
FAC0354,Number,Lecturer,CAM0007,19-12-2024
FAC0355,Organization,Associate Professor,CAM0011,12/28/2024
FAC0356,Friend,Lecturer,CAM0012,14-12-2024
FAC0357,Because,Lecturer,CAM0010,2022-08-21
FAC0358,Pressure,Associate Professor,CAM0010,2023-03-08
FAC0359,Wait,Lecturer,CAM0015,26/11/2023
FAC0360,Of,Lecturer,CAM0017,2023-04-02
FAC0361,Teacher,Professor,CAM0010,29-05-2022
FAC0362,Range,Associate Professor,CAM0011,01/15/2024
FAC0363,Buy,Professor,CAM0015,18-02-2024
FAC0364,Provide,Associate Professor,CAM0017,2022-10-05
FAC0365,Technology,Associate Professor,CAM0008,2023-05-09
FAC0366,Blood,Lecturer,CAM0001,12/09/2023
FAC0367,From,Lecturer,CAM0013,31/03/2022
FAC0368,Under,associate professor,CAM0015,13/01/2024
FAC0369,Method,Assistant Professor,CAM0017,2023-08-08
FAC0370,Purpose,assistant professor,CAM0014,15/09/2024
FAC0371,Major,Associate Professor,CAM0009,11-10-2023
FAC0372,Hot,Professor,CAM0011,20/01/2023
FAC0373,Method,Professor,CAM0002,17-11-2023
FAC0374,Fine,Assistant Professor,CAM0014,2023-11-20
FAC0375,Dream,Associate Professor,CAM0005,2024-10-23
FAC0376,Air,LECTURER,CAM0008,14/05/2022
FAC0377,Player,Lecturer,CAM0001,2024-02-14
FAC0378,Bar,Associate Professor,CAM0011,04/08/2022
FAC0379,Admit,Assistant Professor,CAM0015,14/12/2024
FAC0380,Wait,Associate Professor,CAM0010,10/08/2024
FAC0381,Game,Assistant Professor,CAM0014,19/02/2022
FAC0382,Network,Professor,CAM0013,09/19/2023
FAC0383,Fill,Assistant Professor,CAM0006,13-04-2022
FAC0384,Discuss,Associate Professor,CAM0014,28-02-2023
FAC0385,Family,Lecturer,CAM0009,05/23/2024
FAC0386,Adult,Assistant Professor,CAM0006,23/04/2024
FAC0387,Economic,Associate professor,CAM0013,08/10/2023
INVALID_37,Too,Associate Professor,CAM0014,19/07/2022
FAC0389,Action,Lecturer,CAM0016,2022-10-23
FAC0390,World,Assistant Professor,CAM0006,23/05/2024
FAC0391,Size,Lecturer,CAM0012,2023-04-19
FAC0392,Generation,Assistant Professor,CAM0009,2024-06-19
FAC0393,Reflect,Professor,CAM0003,05/14/2024
FAC0394,End,Professor,CAM0005,16/07/2023
FAC0395,Grow,Lecturer,CAM0016,01/16/2022
FAC0153,None,Associate Professor,CAM0019,21-03-2024
FAC0397,Accept,Assistant Professor,CAM0011,28-12-2022
FAC0398,Itself,Associate Professor,CAM0001,10/28/2023
FAC0399,Already,Lecturer,CAM0016,26-05-2023
FAC0400,Meet,Assistant professor,CAM0017,21/04/2023
FAC0401,Fill,Lecturer,CAM0016,2022-11-09
FAC0402,Act,Associate Professor,CAM0002,16/11/2024
FAC0403,On,Lecturer,CAM0004,2023-08-02
FAC0404,Individual,Lecturer,CAM0005,17-09-2024
FAC0405,Whether,Associate Professor,CAM0006,25-12-2024
FAC0406,Agency,Lecturer,CAM0008,02/11/2024
FAC0407,Others,Associate Professor,CAM0019,07/09/2023
FAC0408,Myself,Professor,CAM0018,2023-01-06
FAC0409,Nearly,Assistant Professor,CAM0020,04-11-2022
FAC0410,Part,Assistant Professor,CAM0009,03/08/2022
FAC0411,City,PROFESSOR,CAM0010,23-04-2023
FAC0412,Home,Professor,CAM0003,17/01/2022
FAC0413,Quite,Professor,CAM0006,20-08-2023
FAC0414,People,PROFESSOR,CAM0020,23-01-2024
FAC0415,Thought,Associate Professor,CAM0020,2022-05-15
FAC0416,Should,Lecturer,CAM0017,04-06-2023
FAC0417,Our,Associate Professor,CAM0018,2022-04-15
FAC0418,Church,Assistant Professor,CAM0017,04-03-2024
FAC0419,Piece,Assistant Professor,CAM0005,01/10/2023
FAC0420,Different,Lecturer,CAM0007,09/12/2022
FAC0421,Total,Lecturer,CAM0011,2024-08-16
FAC0422,Medical,Lecturer,CAM0004,28/01/2022
FAC0423,Rule,Associate Professor,CAM0009,2024-04-11
FAC0424,Since,Professor,CAM0004,02/25/2024
FAC0425,Possible,Lecturer,CAM0013,26/09/2024
FAC0426,Tax,Professor,CAM0007,05/29/2022
FAC0427,Leader,Assistant Professor,CAM0004,24/05/2023
FAC0428,True,Professor,CAM0018,12/07/2022
FAC0429,Management,Lecturer,CAM0015,10/18/2023
FAC0430,Analysis,Professor,CAM0008,2023-07-16
FAC0431,Design,Assistant Professor,CAM0003,08-02-2023
FAC0432,Although,Assistant Professor,CAM0018,10/09/2022
FAC0433,Fact,Professor,CAM0014,02/21/2022
FAC0434,Base,Assistant Professor,CAM0019,01/23/2023
FAC0435,Those,Associate Professor,CAM0017,10/03/2024
FAC0436,Individual,PROFESSOR,CAM9999,09/12/2023
FAC0437,Push,Lecturer,CAM0003,28-06-2023
FAC0438,Right,Professor,CAM0009,2022-04-18
FAC0439,You,Assistant Professor,CAM0010,02/07/2024
FAC0440,Matter,Associate Professor,CAM0003,18-04-2022
FAC0441,Type,Assistant Professor,CAM0007,2022-05-13
FAC0442,Conference,Assistant Professor,CAM0019,26/08/2023
FAC0443,Part,Assistant Professor,CAM0008,04/05/2024
FAC0444,Throughout,professor,CAM0003,02/02/2024
FAC0445,Unit,Professor,CAM9999,17-11-2023
FAC0446,Great,Associate Professor,CAM0006,01-05-2022
FAC0447,But,Assistant Professor,CAM0011,03-02-2023
FAC0448,Send,Lecturer,CAM0001,18/04/2024
FAC0449,Worry,Associate Professor,CAM0014,13-07-2023
FAC0450,Follow,Associate professor,CAM0005,17-01-2024
FAC0451,Free,Assistant Professor,CAM0012,2022-01-06
FAC0452,Store,Professor,CAM0006,2024-10-20
FAC0453,Professor,Assistant Professor,CAM0018,04/03/2024
FAC0454,Foreign,Associate Professor,CAM0009,2023-12-18
FAC0455,Seat,Associate Professor,CAM0008,2022-01-22
FAC0456,Black,Associate Professor,CAM0008,2023-08-13
FAC0457,Project,Professor,CAM0011,26-06-2023
FAC0458,Eat,Professor,CAM0019,2023-03-27
FAC0459,Everything,Associate Professor,CAM0014,23/08/2023
FAC0460,Both,Assistant Professor,CAM0009,20/08/2024
FAC0461,Plant,Assistant professor,CAM0013,12-02-2024
FAC0462,Him,Assistant Professor,CAM0010,2022-03-10
FAC0463,Agency,Associate professor,CAM0019,08/28/2023
FAC0464,Area,Lecturer,CAM0001,12/08/2022
FAC0465,Scientist,Associate Professor,CAM0018,03/12/2023
FAC0466,College,Assistant Professor,CAM0012,29/05/2023
FAC0467,Plant,Professor,CAM0003,31-08-2023
INVALID_56,Say,Professor,CAM0018,29/09/2022
FAC0469,Million,Assistant Professor,CAM0007,20/10/2022
FAC0470,Investment,Professor,CAM0003,2023-09-03
FAC0471,Drive,Professor,CAM0018,03-09-2023
FAC0472,Final,Professor,CAM0011,02-12-2023
FAC0473,Much,Assistant Professor,CAM0011,07/27/2024
FAC0474,Information,Associate Professor,CAM0004,12/08/2024
FAC0475,Per,Associate Professor,CAM0015,15-07-2023
FAC0476,Station,Assistant professor,CAM0011,2024-10-20
FAC0477,Industry,Lecturer,CAM0015,28-02-2022
FAC0478,Sing,Assistant Professor,CAM0008,13-04-2022
FAC0479,Picture,Assistant Professor,CAM0001,2022-11-07
FAC0480,Movement,Associate Professor,CAM0009,2024-07-04
FAC0481,Various,Associate Professor,CAM0006,29-10-2022
FAC0482,High,Assistant Professor,CAM0019,2023-01-03
FAC0483,Company,Assistant Professor,CAM0016,09/09/2024
