CustomerID,Name,Email,City,JoinDate,LoyaltyTier
CUS0076,Shane Salinas,Human,Democratic,21-06-2024,Gold
CUS0077,Alexander Reyes,Can,Community,08-02-2022,Bronze
CUS0078,Eric Cross,Across,Nearly,11/02/2022,Silver
CUS0079,Stephanie Christensen,Blue,Expect,03/15/2024,Bronze
CUS0080,Mark Hebert,During,Above,12/12/2023,Gold
CUS0081,Shannon Simpson,Quite,Entire,07/28/2022,Silver
CUS0082,Douglas Savage,His,Student,2024-02-23,Gold
CUS0083,Katie Jones,Beyond,As,12/02/2024,Bronze
CUS0084,John Mason,Necessary,Per,2024-05-17,Gold
CUS0085,Jaime Dawson,Give,Later,08/04/2024,Silver
CUS0086,Jacob Saunders,Nature,Ball,2023-05-14,Silver
CUS0087,Kenneth Fisher,Many,Though,2024-01-02,Silver
CUS0088,Jeanette Perry,Exist,Leave,14/12/2023,Bronze
CUS0089,Jessica Diaz,Gun,Range,18-12-2024,Silver
CUS0041,Patrick Dennis,Then,Exist,22-01-2022,Silver
CUS0091,Nicole Jones,Ok,Require,23-07-2022,Bronze
CUS0092,Marcus Rich,Store,Remain,23/10/2023,Silver
CUS0093,Leslie Woods,Think,Particular,12/06/2024,bronze
CUS0094,Rebecca Bailey,Agreement,Ever,08-04-2023,Silver
CUS0095,Sheila Webb,Fact,Read,2023-09-27,silver
CUS0096,  Benjamin Johnson  ,Citizen,Office,12/19/2024,Silver
CUS0097,Ashley Dixon,Concern,Goal,2022-10-27,Silver
CUS0098,Kiara Baxter,Place,People,06/02/2024,Bronze
CUS0099,Stephanie Armstrong,Deep,Data,08/09/2024,Gold
CUS0100,  Jesse Sanchez  ,Speech,Task,19/08/2022,Bronze
CUS0101,Christopher Flores,Especially,Girl,08/04/2022,Gold
CUS0102,David Hickman,Deep,Account,16-06-2023,Bronze
CUS0103,Lisa Weaver,Dark,Major,10/09/2023,Bronze
CUS0104,Brooke Walker,Test,Parent,08/14/2023,Gold
CUS0105,Edwin Dougherty,Building,Would,10/22/2023,Gold
CUS0106,Steve Green,Author,Evidence,01/23/2022,Gold
INVALID_71,Lori Phillips,Treat,We,08/31/2022,Gold
CUS0108,Tara Reed,Author,Forget,2024-01-01,Silver
CUS0109,Nathan Johnson,For,Fast,13-01-2022,SILVER
CUS0110,Hannah Rodriguez,Senior,Student,21/10/2024,Bronze
CUS0111,Jennifer Peterson,Agreement,Certainly,2023-01-10,Gold
CUS0112,Kenneth Walker,Change,Necessary,07/31/2022,Bronze
CUS0113,James Robinson,Cost,Assume,2023-03-05,Silver
CUS0114,Jorge Phillips,From,Individual,12/22/2024,BRONZE
CUS0115,Holly Miller,Work,I,28-04-2024,Bronze
CUS0116,Raymond Miles,Like,Military,02/11/2023,Silver
CUS0107,Cynthia Wilson,Choice,Imagine,01/12/2024,Silver
CUS0118,Michelle Byrd,Nature,Such,27-01-2024,Silver
CUS0119,Alexis Smith,Particularly,Herself,02-08-2024,Gold
CUS0120,Morgan Huffman,Kind,Stand,2023-03-10,Gold
CUS0121,Jody Miranda,Similar,Address,23-06-2022,Gold
CUS0122,Carol Brown,Rest,Our,02-01-2022,Bronze
CUS0123,Katelyn Kirby,Bar,Seven,2023-06-22,Gold
CUS0124,  Charlene Daniels  ,Attorney,To,2024-03-07,Bronze
CUS0125,  Kyle Rodriguez  ,Space,Particularly,04/20/2022,Gold
CUS0126,Hannah Martin,Throw,Bill,03-08-2023,Bronze
CUS0127,  Tina Mullins  ,Watch,Offer,08-06-2022,Silver
CUS0128,  John Evans  ,Surface,Century,03/18/2023,Gold
INVALID_70,Joseph Ortiz,People,Current,2022-07-17,bronze
CUS0130,  Mark White  ,Remain,Suffer,29-04-2024,Silver
CUS0011,April Ruiz,Live,Live,2023-10-28,Gold
CUS0132,Lori Ellis,Performance,Drug,12/24/2024,Gold
CUS0133,Ann Baker,Magazine,Kind,31/10/2024,Gold
CUS0134,Brandi Marquez,Provide,Thousand,28-01-2023,Gold
CUS0135,Katelyn Padilla,Computer,White,08/22/2024,Silver
CUS0136,  Kathryn Davenport  ,Role,Position,12/11/2024,Gold
CUS0137,Jennifer Johnson,Scientist,System,2022-02-21,Gold
CUS0138,James Ingram,Work,Person,03/26/2024,Bronze
CUS0139,Jacob Williamson,Religious,Collection,07-02-2023,Silver
CUS0140,  Samantha Brooks  ,Financial,Voice,2022-11-17,Bronze
CUS0141,Cathy Mays,Piece,Pm,10/04/2022,Bronze
CUS0142,John Payne,Allow,Majority,2023-11-11,Bronze
CUS0143,Benjamin Bass,Sign,Air,12/23/2024,Bronze
CUS0144,Russell Martinez,Single,He,02-06-2022,Bronze
CUS0145,Amber Haynes,Century,Top,20/10/2024,Bronze
CUS0146,  Maria Castro  ,Attorney,Manage,2023-02-18,Gold
CUS0147,Barbara Rogers,Power,Cold,11/30/2022,Bronze
CUS0148,Nancy Rivera,Left,South,2022-04-19,gold
CUS0149,Brandon Lane,They,Space,10/07/2022,Silver
CUS0150,Vanessa Davis,Sound,For,03-02-2024,Bronze
CUS0151,David Thompson,Statement,Play,26/04/2022,Bronze
CUS0152,Meghan Jones,Behind,Reflect,21-01-2022,Bronze
CUS0153,  Joshua Lowe  ,Fast,Child,07/04/2024,Silver
CUS0154,Shawn Harris,Heavy,Him,13-09-2022,Bronze
CUS0155,Mark Williams,Company,Wind,2023-04-08,Gold
CUS0156,Timothy Sullivan,Country,Series,2023-10-07,Gold
CUS0157,Crystal Nichols,Arm,Seem,05/23/2023,Bronze
CUS0158,Carla Roberts,Who,Tax,11-12-2024,BRONZE
CUS0159,Janice Marsh,Small,Serve,08/12/2023,Silver
CUS0160,  Erin Hanna  ,Billion,Similar,01/04/2023,Silver
CUS0161,Tyler Morris,Finally,Heart,30/08/2024,Gold
CUS0162,Patricia Charles,Able,View,12/16/2024,Silver
CUS0163,Norma Barrett,Focus,This,20/05/2022,Gold
CUS0164,Michelle Taylor,Official,Team,27-04-2022,Bronze
CUS0165,  Cynthia Burnett  ,Us,Receive,18/02/2024,Gold
CUS0166,Benjamin Lee,Protect,North,12/10/2022,Bronze
CUS0167,Jennifer Cain,Yeah,Money,30-03-2022,Bronze
CUS0168,Elizabeth Smith,Low,Movement,02/08/2022,Gold
CUS0169,Terry Schroeder,Item,Poor,05-05-2024,Gold
CUS0170,David Daniels,Meeting,At,15-05-2023,Bronze
CUS0171,Joanna Gomez,Morning,Heart,18/07/2023,Gold
CUS0172,Crystal Estrada,Vote,Knowledge,24/02/2023,Silver
CUS0173,Samantha Watson,Partner,Others,2024-11-22,Bronze
CUS0174,Nicholas Allen,Mention,Box,07-11-2022,Silver
CUS0175,Brian Mcmillan,Light,Style,05/04/2024,GOLD
CUS0176,Jose Garcia,Point,Black,2023-02-17,Bronze
CUS0177,Charles Fuller,Direction,Coach,25-08-2023,Silver
CUS0178,Francisco Jackson,Life,Perform,11/27/2024,Bronze
CUS0179,Steve Lyons,Because,Include,02/17/2024,Silver
CUS0180,Joshua George,Model,Entire,05/07/2024,Silver
CUS0181,Michael Wagner,Group,Lead,05-08-2022,Bronze
CUS0182,Nancy Anderson,Commercial,Physical,30/11/2022,Gold
CUS0183,Kayla Beck,Lay,Whom,08/15/2022,Silver
CUS0184,Michael Frazier,Pattern,Over,14/10/2022,Bronze
CUS0185,Mark Jackson,Spring,On,03/16/2022,Silver
CUS0181,Samantha Campbell,Interest,Even,2024-01-27,Gold
CUS0187,Ronnie Hall,Physical,Least,18-03-2023,Gold
CUS0188,  Ruben West  ,Above,New,2022-11-28,Silver
CUS0189,Sergio Dunn,Maybe,Such,2022-11-01,Bronze
CUS0190,Michael Erickson,Parent,Imagine,09-12-2023,Gold
CUS0191,Todd Wells,Nothing,Town,16-06-2024,Silver
CUS0192,Angel Bradley,Thousand,Add,06-04-2022,Bronze
CUS0193,Gary Nichols,Picture,Doctor,10/09/2022,Silver
CUS0194,Roberta Moore,Pay,Something,2023-09-02,Bronze
CUS0195,Kathleen Stewart,Explain,Want,30/05/2024,Gold
CUS0196,Corey Chase,Enjoy,Become,19/12/2023,Bronze
CUS0197,  Renee Daniels  ,Figure,Must,2023-06-20,Silver
CUS0198,  Tara Hoover  ,Reveal,Actually,22-07-2023,Silver
CUS0199,Diane Cox,Behind,Face,05-07-2023,Bronze
CUS0015,Maria Stewart,Despite,Fast,2024-03-06,Bronze
CUS0201,Evan Sexton,Today,Until,05-01-2022,GOLD
CUS0202,Natalie Fox,Cover,Just,11/08/2024,Gold
CUS0203,  Adam Harmon  ,Throw,Window,08/28/2022,Bronze
CUS0204,Sandra Peterson,Than,Vote,2024-04-20,Bronze
CUS0184,Christopher Spencer,Meet,Southern,10/11/2023,Gold
CUS0206,Jason Schneider,Note,Fine,03-12-2023,Silver
CUS0207,Timothy Howard,Until,Morning,2022-04-17,Silver
CUS0208,Zachary Hernandez,Receive,Future,09/25/2024,Gold
CUS0209,Ronnie Price,Issue,Animal,06-10-2024,Bronze
CUS0210,Teresa Wise,Particular,Set,10/08/2023,Gold
CUS0211,  Nicholas Burns  ,Themselves,May,2024-03-02,Bronze
CUS0212,Mitchell Hartman,Prove,Show,16-04-2024,Silver
CUS0213,Jake Austin,Help,Six,06-08-2022,Bronze
CUS0214,John Riley,Claim,Structure,04/03/2022,Silver
CUS0215,Melissa Ramirez,Already,Some,2022-08-26,Gold
CUS0216,Michelle Williamson,Debate,Experience,25-01-2023,Gold
CUS0217,Travis Smith,Decision,Little,29/05/2022,Silver
CUS0218,Joel Morris,Marriage,Avoid,14-01-2023,Gold
CUS0219,Shannon Figueroa,Money,People,2024-01-30,Bronze
CUS0220,Whitney Mcguire,Shoulder,Edge,12/01/2023,Bronze
CUS0221,  Angela Gonzales  ,Arrive,Deal,10/09/2023,Gold
CUS0222,Heather Young,Price,Order,11/01/2024,Bronze
CUS0087,Ashley Ponce,Economy,Certainly,2022-04-06,Bronze
CUS0224,  Annette Phillips  ,Talk,Lead,30/10/2022,Silver
CUS0225,Kenneth Velez,Quite,Follow,01/30/2024,Bronze
CUS0226,Eduardo White,Able,Reveal,11/12/2022,gold
CUS0227,  Timothy Boyd  ,According,Crime,2023-05-02,Silver
CUS0228,  David Castillo  ,Citizen,Speak,24/10/2022,Gold
CUS0229,Jasmine Simpson,Everyone,Religious,06/12/2022,Silver
CUS0230,Christy Ellis,Weight,City,15/03/2023,Gold
CUS0231,Megan Gray,Probably,Here,27/04/2022,Bronze
CUS0232,Joe Davis,Middle,Our,2023-04-12,Silver
CUS0233,Jonathan Kent,Foot,Hot,18-11-2022,Gold
CUS0234,Adam Wright,Magazine,Kid,2023-11-21,Gold
CUS0235,Collin Smith,Structure,Out,09-06-2024,Silver
INVALID_45,Katie Smith,Trip,Parent,14-07-2023,Silver
CUS0237,Roberto Cochran,Wind,Cup,18-07-2023,Gold
CUS0238,  Kaitlin Davis  ,Father,Environmental,30-08-2024,Gold
CUS0239,Bradley Cochran,Lose,Region,17/11/2022,Silver
CUS0240,Daniel Russo,Particular,Wife,15/12/2023,Bronze
CUS0241,Eddie Murphy,Follow,Agreement,01/05/2023,Gold
CUS0242,Danielle Stephens,Area,Paper,10/25/2024,Gold
CUS0243,Michael Campos,Student,In,2022-04-15,Bronze
CUS0244,Michael Taylor,Mouth,Have,22/04/2023,Silver
CUS0245,Gina Collier,Note,Tough,2022-08-18,Silver
CUS0246,Gwendolyn Powell,Dark,Hotel,20-04-2022,Bronze
CUS0247,Kathleen Bowers,Parent,Some,30/10/2023,Silver
CUS0023,Heather Gibson,Report,Behind,12/11/2022,Bronze
INVALID_83,Darryl Fisher,Science,Catch,02/05/2024,Bronze
CUS0250,Rebecca Phillips,Nice,Too,2024-09-30,Bronze
CUS0251,  Priscilla Dixon  ,Show,Federal,16-09-2022,Silver
CUS0252,  Jennifer Hart  ,Attorney,Tell,2023-11-08,Gold
CUS0253,Victoria Parks,About,During,07/05/2024,Gold
CUS0254,Sheila Martin,Really,Material,08/28/2023,Gold
CUS0255,Kim Combs,Discussion,Another,2024-03-25,silver
CUS0256,Jennifer White,Billion,Help,2024-12-16,Gold
CUS0241,Brian Walker,Image,Idea,30-04-2022,Gold
CUS0258,Charles Weber,Describe,Mission,05/17/2024,Silver
CUS0259,  Eddie Novak  ,Boy,Group,2023-09-24,bronze
CUS0260,Destiny Woods,Thing,Usually,10/10/2022,Gold
CUS0245,Brian Hurley,Garden,Decide,2024-05-06,Gold
CUS0262,Sarah Haney,Eat,Challenge,04/11/2023,Bronze
CUS0263,Stephanie Mcdonald,Hotel,Whom,2023-09-08,Bronze
CUS0264,Kimberly Shah,Central,Say,12/08/2022,Silver
CUS0265,Traci Watson,Measure,Southern,09/06/2022,Silver
CUS0266,Sandra Bailey,Indeed,Manager,09/13/2022,Gold
CUS0267,  Bradley Sandoval  ,Parent,Today,25/01/2024,Silver
CUS0268,James Best,Main,Bag,2022-02-18,Silver
CUS0269,Erin Noble,Too,Hope,01/25/2023,Bronze
CUS0270,Michele Castaneda,Agent,Officer,08-06-2024,Gold
CUS0271,Patricia Hammond,How,To,13/02/2023,bronze
CUS0073,James Mcmahon,Argue,Kid,02/02/2024,Bronze
CUS0273,Amanda Evans,Several,Check,24/03/2024,Silver
CUS0274,Alexander Martin,Recent,Admit,12-05-2023,Bronze
CUS0275,Cynthia Watts,Yeah,Good,2024-02-13,Silver
CUS0276,Evan Long,Quality,Decision,08/03/2023,Silver
CUS0277,Debra Allen,Able,Simple,17-08-2024,Bronze
CUS0278,Linda Chapman,Instead,Seat,2024-08-09,gold
CUS0279,David Martin,Cold,Where,01/15/2023,Gold
CUS0280,Caroline Bradley,Reduce,Skill,2022-12-19,Bronze
CUS0281,Paul Chen,Style,Unit,2022-01-05,Gold
CUS0282,Roy Small,Major,Can,05/04/2024,Bronze
CUS0283,Maurice Smith,Me,Song,02/10/2023,Bronze
CUS0284,Patrick Sullivan,Music,Teach,05-01-2023,Silver
INVALID_67,Daniel Li,Pretty,Instead,2022-12-06,Bronze
CUS0286,Jessica Smith,Resource,Congress,29-07-2023,Bronze
INVALID_81,Veronica Rice,Image,Energy,04-11-2022,Silver
CUS0288,Christopher Allen,Course,Choice,21/09/2023,Bronze
CUS0289,Gabriel Bryant,Something,Direction,2022-08-13,Silver
CUS0290,Melissa Allen,Eight,Focus,07/11/2022,gold
CUS0291,John Haynes,To,Decision,2022-02-24,Gold
CUS0292,Michael Torres,Inside,Front,04/26/2023,SILVER
CUS0293,Stacy Stone,Current,Him,08-08-2022,Gold
CUS0294,Andrea Griffin,Commercial,In,2024-10-05,Gold
CUS0295,Carrie Stevens,Even,Cost,30/12/2023,Silver
CUS0296,Todd Webster,Exist,Big,11/24/2024,Bronze
CUS0297,Morgan Stevens,Decade,Say,2024-04-28,Gold
CUS0298,Melissa Gardner,People,Wait,2024-12-19,Gold
CUS0299,Erika Scott,Throughout,Of,02/29/2024,Silver
CUS0300,Nicholas Hicks,Compare,Until,2022-08-10,Gold
CUS0301,  Donna Sanchez  ,Suddenly,Well,2024-03-03,bronze
CUS0302,Elizabeth Mcdaniel,Article,No,04/26/2022,Gold
CUS0303,Carrie Henry,Five,Page,12/25/2024,Silver
CUS0304,Natalie Rhodes,Really,Worry,25-02-2023,Gold
CUS0305,Jimmy Townsend,Piece,Behind,08/04/2024,Bronze
CUS0306,  Derrick Williams  ,System,Detail,04-10-2024,Gold
CUS0307,David Mcgrath,Artist,Reach,28/08/2022,Silver
CUS0308,Chad Hogan,Account,Source,04/21/2022,Bronze
CUS0309,Steven Mullins,Likely,News,11/05/2023,Silver
CUS0310,David Cisneros,Provide,Do,21-11-2022,Bronze
CUS0311,Jessica Johnson,Least,Mother,04/05/2023,Bronze
CUS0312,Donald Sanders,Class,Big,14-01-2023,Gold
CUS0313,Christopher Blackburn,Stand,Herself,2022-11-25,Bronze
CUS0314,Daniel Dickson,Today,Board,12/19/2022,Gold
CUS0315,Thomas Kirk,Be,Write,2024-11-17,BRONZE
CUS0316,James Johnson,Especially,White,17-10-2023,Gold
CUS0317,Rebecca Burton,It,Deep,22/03/2023,Silver
CUS0318,Joshua Johnson,Throughout,Increase,30-05-2023,Silver
CUS0319,Jennifer Brown,Five,Carry,12-02-2022,GOLD
CUS0320,David Williams,Receive,Reveal,08-10-2024,Bronze
CUS0321,Amanda Lambert,Team,Land,09/23/2023,Silver
CUS0322,Eric Hall,Recent,Participant,24-08-2024,SILVER
CUS0323,Joyce Wells,Significant,Model,03-01-2023,Bronze
CUS0324,Jennifer Barker,Difference,Memory,05/02/2022,Gold
INVALID_56,Samantha Ortiz,Poor,Drug,2023-08-02,Bronze
CUS0326,Kelly Baxter,Maintain,Break,08/30/2024,Bronze
CUS0327,Amy Thompson,Step,Process,30-11-2022,Bronze
INVALID_37,Laura Douglas,Medical,Cup,10/01/2023,Bronze
CUS0267,Jacqueline Smith,Open,Yard,22/11/2023,Bronze
CUS0330,Maria Boyer,Way,Song,02-05-2023,Silver
CUS0331,  Timothy Schneider  ,With,Knowledge,2023-04-04,Bronze
CUS0332,Alexander Hamilton,Community,Hospital,2023-10-04,Bronze
CUS0333,Julie Vazquez,Boy,They,22/01/2022,Gold
CUS0334,Cassandra Carroll,Begin,Feeling,08/31/2024,Bronze
CUS0335,  Pamela Myers  ,Standard,Hear,2022-05-17,Bronze
CUS0336,Angie Chase,Film,Federal,07/02/2024,Bronze
CUS0337,Derrick Sanchez,Reflect,Discussion,06/25/2022,Gold
CUS0338,Tamara Dorsey,True,Type,30/06/2023,Silver
CUS0339,Anthony Estes,Move,Upon,2023-06-09,Gold
CUS0340,James Pearson,Player,Article,21/08/2022,Gold
CUS0341,Derrick May,Suddenly,Tough,06-12-2024,Bronze
CUS0342,William Rollins,Sometimes,Value,14/07/2024,Bronze
CUS0343,Michelle Hanson,Past,His,12/17/2024,Gold
CUS0344,Jacqueline Boyer,Sort,Leave,07/23/2022,Bronze
CUS0345,Michelle Andrews,Able,Baby,04-04-2023,Gold
CUS0346,James Rivera,Show,Ahead,09-10-2023,GOLD
CUS0347,Lauren Gilbert,Best,Soon,03/07/2022,bronze
CUS0348,Kevin Chaney,Window,Let,10/04/2022,Bronze
CUS0349,Thomas White,Simple,Season,02/08/2022,Bronze
CUS0350,Ronald White,Grow,Remember,08/21/2024,Silver
INVALID_49,Matthew Wilson,Difference,Meeting,04/13/2023,Gold
CUS0352,Daisy Riddle,Themselves,Sort,17-06-2024,Gold
CUS0353,Gary Lambert,She,Maintain,08-09-2024,Silver
CUS0162,Margaret Turner,Often,Election,06-07-2022,Silver
CUS0355,Richard Hill,Agency,With,04-01-2022,Bronze
CUS0356,Amber Lindsey,Group,Then,09/13/2022,Bronze
CUS0357,Joseph Collins,So,Five,07/05/2022,Gold
CUS0358,Jennifer Mercado,Area,Specific,20/12/2023,Gold
CUS0359,Jamie Lopez,Bar,Stock,05/05/2023,Silver
CUS0360,  Bradley Krause  ,Chair,Painting,02/22/2022,Gold
CUS0361,Susan Henderson,Republican,Speech,2024-11-15,Bronze
CUS0362,Grant Cox,Throughout,Teach,2023-04-16,Bronze
CUS0363,  Jennifer Miller  ,Dinner,Form,23-06-2023,Silver
CUS0364,Lynn Burton,Century,Whose,18/10/2023,Gold
CUS0365,Beth Benson,True,Study,19-01-2023,Bronze
CUS0366,Brooke Richardson,Certainly,Only,24-10-2024,Gold
CUS0367,Michelle Harris,Listen,Church,15/10/2024,gold
CUS0368,  Shane Brown  ,Fast,Interview,2023-12-09,Gold
CUS0369,Brian Cortez,Degree,That,2024-05-31,GOLD
CUS0370,  Patrick Smith  ,Provide,Crime,06/13/2024,Bronze
CUS0371,Debbie Miller,Hold,Senior,18/09/2022,Gold
CUS0372,Arthur Dennis,Order,Hour,31/12/2022,Bronze
CUS0373,Michael Clark,Budget,Keep,05/11/2024,Silver
CUS0374,Lisa Howard,Form,Approach,05/04/2022,Bronze
CUS0375,Kathleen Casey,Quickly,Pm,2022-01-29,Bronze
CUS0376,David Lowery,Eight,Pretty,18-07-2024,Bronze
CUS0377,Jennifer Banks,Choose,Service,28-03-2023,Gold
CUS0378,Michael Davis,With,Prepare,2023-06-15,Gold
CUS0379,Katherine Warner,Scene,Staff,14/10/2024,Bronze
CUS0380,Joshua Carter,Others,Answer,01/20/2023,Silver
CUS0381,  Sharon Harris  ,Technology,Game,09-12-2024,Gold
CUS0382,Jose Clark,Free,Stuff,2023-02-27,Gold
CUS0383,Erik Woodard,Thought,Receive,14-07-2024,silver
CUS0384,  Stacy Brewer  ,Team,Manager,11-03-2023,Bronze
CUS0385,Diane Crawford,Road,Leader,01-08-2022,Silver
CUS0386,  Carrie Hartman  ,Another,Yourself,23/04/2024,Silver
CUS0387,  Richard Branch  ,Everyone,Morning,02/09/2024,Gold
CUS0388,Elizabeth Torres,Opportunity,Many,02/03/2022,Silver
CUS0389,  Tina Johnston  ,Real,Allow,16-03-2023,Gold
CUS0390,Jeff Thomas,Enough,Near,2023-12-28,Gold
CUS0391,Andrew Lane,Than,Special,2023-11-09,Gold
CUS0392,Richard Garcia,Star,Somebody,02-11-2023,Gold
CUS0393,Heather Johnson,Build,Visit,2023-03-21,Gold
CUS0394,Lisa Smith,Author,Left,01/10/2023,Gold
CUS0315,  Stephanie Bean  ,Environmental,Person,01-02-2022,Gold
CUS0396,John Walker,Change,Hand,10/22/2022,Bronze
CUS0397,Jorge Maldonado,Trip,Show,06/07/2022,Bronze
CUS0398,Nathaniel Griffith,At,Here,18/04/2022,GOLD
CUS0399,Kayla Mueller,Decision,Ten,2022-05-22,Bronze
CUS0400,Heather Adams,Guess,Interesting,2024-05-28,Silver
CUS0401,  Joshua Frederick  ,Car,Reality,08-10-2024,Bronze
CUS0402,Manuel Schultz,Former,Child,08/03/2022,Bronze
CUS0403,Patricia Perez,Day,Light,06/19/2022,Silver
CUS0404,Michelle Mckinney,Discuss,The,2024-05-01,Bronze
CUS0405,Jesse Meadows,Institution,Wonder,2022-03-02,Gold
CUS0406,Walter Harding,Current,Watch,11-06-2024,Bronze
CUS0407,Joshua Snow,Four,Past,30-03-2024,Gold
CUS0408,Donald Pugh,Former,Mr,2024-05-18,Silver
CUS0378,Steven Brown,Pm,Pick,06-07-2024,Bronze
CUS0410,  Dale Hopkins  ,New,Research,2022-03-05,Silver
CUS0411,Mary Wagner,Send,Score,2022-04-03,Silver
CUS0412,  Melissa Suarez  ,President,Force,03/20/2023,Bronze
CUS0313,Mark Cole,Technology,Through,02/17/2023,Bronze
CUS0414,Elizabeth Friedman,Expert,Little,05/29/2024,GOLD
CUS0415,Jessica Green,Your,Break,23-12-2022,Silver
CUS0219,Laura Walls,Organization,Television,01/07/2022,Gold
CUS0417,Katrina Singh,Career,Region,18/12/2024,Gold
CUS0418,Carlos Carlson,Decade,Page,29/04/2024,Silver
