AgentID,Name,Region,Specialization,HireDate,TotalPoliciesSold
AGE0098,Hair,North,Act,2022-03-20,161
AGE0099,Democratic,Central,Notice,13-02-2024,114
INVALID_79,Bit,West,Ago,21/08/2024,135
AGE0101,Prevent,West,Blue,20-02-2023,265
AGE0102,Economic,SOUTH,Executive,12-11-2023,277
AGE0103,Hope,West,Brother,25/05/2024,185
AGE0104,Year,East,Beat,2023-06-25,277
INVALID_91,Its,South,Pay,2022-12-29,271
AGE0106,Night,North,Lot,06-06-2022,55
AGE0107,Ability,West,Street,15/05/2023,65
AGE0108,Ask,West,Home,2023-11-21,162
AGE0109,Process,South,Hair,12/09/2022,175
AGE0013,Local,North,Last,21/01/2023,165
AGE0111,Force,East,Rate,11/25/2024,224
AGE0112,Stuff,North,Often,2023-04-21,148
AGE0113,Effect,Central,Identify,11/22/2023,62
AGE0114,Different,West,Professor,01/21/2024,113
AGE0096,Middle,North,War,24/08/2024,233
AGE0116,Nice,North,Recently,2022-08-31,106
AGE0117,Others,East,Along,2023-07-27,16
AGE0118,Finish,East,Minute,02/15/2024,33
AGE0119,Center,Central,Deal,03-02-2023,117
AGE0120,Morning,West,Deal,01-04-2022,66
AGE0121,Power,EAST,Camera,09/24/2024,277
AGE0122,Two,Central,Adult,02/11/2022,210
AGE0123,Daughter,Central,Lawyer,2023-07-19,149
AGE0124,Owner,East,Like,18-04-2024,222
AGE0125,Explain,Central,Certainly,03-10-2023,72
AGE0126,Really,North,Decade,2022-08-04,231
AGE0127,Occur,South,Huge,2023-07-22,181
AGE0128,Present,South,Onto,28-03-2023,226
AGE0129,Best,West,Body,2024-05-26,281
AGE0130,Religious,South,Understand,02/06/2022,254
AGE0131,Edge,south,West,13-08-2024,14
AGE0132,Arrive,North,Occur,23-09-2023,149
AGE0133,Different,South,Assume,08/15/2022,177
AGE0134,Child,South,System,05/03/2022,120
AGE0135,Current,Central,System,31/12/2022,234
AGE0136,Sign,Central,Successful,2023-12-19,251
AGE0137,Discussion,Central,Exactly,04/15/2023,240
AGE0138,Several,west,Avoid,2024-10-28,263
AGE0139,Red,Central,Finally,09-11-2023,286
AGE0140,Indeed,East,Cultural,2024-11-08,186
AGE0141,Important,East,Without,01/13/2024,211
AGE0142,Surface,East,Suggest,09/30/2023,22
AGE0143,Support,West,Throughout,2024-02-23,257
AGE0144,Information,Central,Option,03/09/2022,-1
AGE0145,Store,West,Evening,2022-03-07,206
AGE0146,Too,South,Question,07/27/2022,8
AGE0147,Coach,North,Deal,09/06/2024,84
AGE0148,Class,West,These,2024-04-08,79
AGE0149,Hand,Central,Spring,06/09/2023,89
AGE0150,Various,Central,Leave,04-12-2024,225
AGE0151,Three,Central,Consider,22-03-2023,119
AGE0152,Find,South,Service,26-09-2024,215
AGE0153,That,South,Available,11/02/2024,58
AGE0154,Of,North,Process,18-05-2022,22
AGE0155,Bill,North,Fine,2024-10-02,261
AGE0156,Nearly,East,Enjoy,2022-08-17,125
AGE0157,None,East,Rate,05/21/2022,142
AGE0158,Modern,Central,Project,15/04/2022,77
AGE0159,Collection,South,Until,04-04-2024,89
AGE0160,Act,East,Central,01/23/2023,227
AGE0161,Some,West,Security,27-01-2023,106
AGE0162,Leader,West,Threat,12/07/2022,48
AGE0163,Reality,EAST,With,17/07/2024,262
AGE0164,Hard,South,According,26-09-2024,146
AGE0165,Choose,West,Him,2022-12-31,285
AGE0166,Discover,North,Subject,01-09-2024,289
AGE0167,Tell,North,Child,16/07/2024,273
INVALID_48,Civil,West,Produce,2022-01-24,169
AGE0169,Day,east,Senior,20-03-2024,227
AGE0170,Some,West,Be,18-05-2023,70
AGE0171,Better,South,Less,02/27/2022,82
AGE0172,Several,West,Medical,10-09-2024,230
AGE0173,His,Central,From,2022-06-15,133
AGE0174,Investment,Central,Tv,18-08-2024,187
AGE0175,Pull,North,Key,2024-08-12,205
AGE0176,Close,West,Thousand,05/22/2022,110
AGE0177,Miss,West,Rule,10/28/2024,0
AGE0048,Lay,West,Often,31-08-2022,32
AGE0179,Hour,South,Number,03/15/2024,0
AGE0180,Expect,Central,World,06/23/2023,145
AGE0181,Page,West,Popular,2022-06-29,9999
AGE0182,Report,South,Simple,11/21/2022,226
AGE0183,Have,CENTRAL,Different,22-10-2024,158
AGE0184,Open,West,Might,05/12/2024,68
AGE0185,Act,North,Only,12/28/2022,8
AGE0186,Laugh,North,With,2022-06-21,236
INVALID_28,Business,east,Price,07/14/2024,285
AGE0188,Same,West,Others,18-09-2024,-1
AGE0189,Appear,East,Certain,08/04/2022,125
AGE0190,Either,West,Firm,03/10/2024,154
INVALID_54,Mrs,North,Improve,31/05/2024,254
AGE0192,Image,East,Seven,2024-11-17,84
AGE0193,Fire,Central,Generation,05/28/2022,253
AGE0194,Party,West,Hospital,06/18/2022,19
AGE0195,Ground,South,Tonight,07/12/2024,124
AGE0196,Indicate,East,Outside,13/10/2022,230
AGE0197,Set,East,Range,24-11-2022,168
AGE0198,Use,South,Generation,2024-01-04,180
AGE0199,Commercial,central,Street,10-10-2023,78
AGE0200,For,West,Whatever,2022-09-21,98
AGE0002,Provide,South,Great,09-05-2022,177
AGE0202,Mr,Central,Relate,02/24/2022,5
AGE0203,Young,West,Wait,22/12/2022,128
AGE0204,Month,South,Share,2023-02-20,206
AGE0205,Arrive,West,Suddenly,2023-04-27,9999
AGE0206,Character,North,Discover,12/12/2022,1
AGE0137,Fly,East,Pretty,26-10-2022,272
INVALID_44,Cell,South,Concern,09-11-2024,124
AGE0209,Final,West,Onto,14-06-2024,38
AGE0210,Total,West,Detail,2024-11-01,5
AGE0211,Imagine,North,Above,2024-10-10,32
AGE0212,Section,East,Just,2023-12-12,127
AGE0213,Of,South,Will,05/14/2024,265
AGE0214,Television,Central,Health,11-08-2022,271
AGE0215,Medical,East,Morning,23-12-2022,0
AGE0216,Idea,East,Hair,27-04-2023,114
AGE0217,Specific,North,Whom,2023-06-20,276
AGE0218,Organization,South,Simple,12/21/2022,-1
AGE0219,Big,South,Woman,01/10/2024,147
AGE0220,Politics,West,Floor,24-09-2024,222
AGE0221,Part,Central,Attorney,07/16/2023,202
AGE0222,Field,South,Institution,2024-03-01,25
AGE0223,Capital,West,Discussion,23/05/2023,280
AGE0224,Ten,South,Huge,11/09/2024,108
AGE0225,Own,South,Night,03/20/2024,262
AGE0226,Follow,North,Still,25/06/2024,247
AGE0227,Which,Central,Must,25-06-2024,15
AGE0228,Home,Central,Staff,19/04/2023,69
AGE0229,While,Central,Off,07/04/2022,239
AGE0230,Positive,North,Over,2022-08-13,127
AGE0231,See,Central,Everyone,25/05/2022,166
AGE0232,Quite,North,Create,01-09-2022,107
AGE0233,Place,South,Authority,2024-10-22,140
AGE0234,Call,South,Speak,18-03-2024,51
AGE0235,Follow,West,Yes,2024-12-18,165
AGE0236,History,West,Necessary,01/28/2022,38
AGE0237,Bit,West,Majority,11-05-2022,6
AGE0238,Quality,South,Product,2023-07-28,53
AGE0239,Management,South,Example,01/30/2022,5
AGE0240,Tend,East,Remain,20/02/2023,210
AGE0241,Gun,East,Similar,2023-05-19,132
AGE0242,Me,North,Culture,29-12-2022,172
AGE0243,Action,North,Direction,2023-09-13,141
AGE0244,Break,North,Main,26-05-2022,8
AGE0245,Believe,West,He,10-04-2024,77
AGE0246,Grow,East,Success,29-01-2022,262
AGE0247,Seek,East,Relate,2022-07-30,204
AGE0248,Age,South,Four,09/12/2023,227
AGE0249,Across,North,Through,14/01/2023,287
AGE0101,Single,South,Talk,07/26/2024,68
AGE0251,Anyone,South,Age,07/28/2023,281
AGE0252,New,North,Future,2023-07-29,179
AGE0253,Part,North,Him,02/22/2024,272
AGE0254,Culture,South,Pick,15/12/2022,269
AGE0255,Situation,East,On,2022-12-02,297
AGE0256,Guess,West,Like,2023-12-28,53
AGE0257,Challenge,North,Effect,22-06-2023,43
AGE0258,Provide,East,Cause,2022-08-01,183
AGE0060,Middle,North,Suddenly,08/06/2024,160
AGE0260,Stop,South,Argue,2024-07-11,28
AGE0261,Gun,East,Let,10-02-2024,196
AGE0262,Official,East,Miss,08/11/2024,146
AGE0263,Wait,Central,Especially,11/14/2023,205
INVALID_26,Hotel,East,Site,16/07/2022,30
AGE0265,Method,Central,Understand,12/04/2022,237
AGE0266,Community,East,Society,2024-02-07,17
AGE0267,Door,South,Least,13-08-2022,102
AGE0268,Better,West,Sometimes,26/06/2023,67
AGE0269,East,North,Value,2024-12-02,41
AGE0270,Leader,South,They,2023-08-15,91
AGE0271,Imagine,Central,Hear,04/27/2023,130
AGE0272,Look,Central,Eye,15-10-2022,232
AGE0273,Need,East,People,11/21/2024,177
AGE0274,Five,Central,Class,19-02-2022,68
AGE0275,Edge,South,Less,2024-01-28,193
INVALID_38,Foreign,Central,Above,03/18/2022,-1
AGE0277,South,South,Staff,06/11/2024,71
AGE0278,Exist,North,Model,08/05/2024,173
AGE0279,Standard,South,Material,04-11-2023,163
AGE0280,Training,South,Material,14/06/2023,300
AGE0281,Subject,East,Base,01-02-2024,58
AGE0282,Hot,Central,Ahead,18/11/2024,232
AGE0283,Song,NORTH,According,25-02-2023,0
AGE0284,Culture,South,Thus,14/02/2023,55
AGE0285,Build,South,Available,2023-07-21,172
AGE0286,Gas,South,Ask,31-12-2023,67
AGE0287,Result,West,Kind,06/10/2023,23
INVALID_6,Wear,North,Parent,2022-07-04,209
AGE0289,Worker,North,Us,2022-08-02,284
AGE0290,Catch,East,Same,01/04/2023,187
AGE0291,Full,Central,Agree,13/07/2023,194
AGE0292,Social,North,North,04/09/2023,214
AGE0293,Offer,West,Voice,15-02-2023,289
AGE0294,A,South,Station,03/08/2022,208
AGE0295,Story,West,Market,19-05-2022,126
AGE0296,Many,North,Per,18/05/2022,291
AGE0297,Development,West,Tell,2023-07-05,11
AGE0298,Return,East,Move,13-07-2022,185
AGE0299,Often,East,During,20-03-2022,127
AGE0300,Decade,Central,Through,2022-05-12,66
AGE0301,Believe,Central,Soon,2022-10-03,18
AGE0302,Hotel,East,Same,2022-03-23,167
AGE0303,Treatment,Central,Miss,2024-05-04,283
AGE0304,Field,Central,Letter,30-09-2023,94
AGE0044,Really,East,Artist,23-02-2023,3
AGE0306,Hot,North,Summer,11/04/2022,9
AGE0307,Away,South,Possible,2024-10-20,26
AGE0308,Process,South,Red,20-06-2023,-1
AGE0309,Scene,North,Fear,04/20/2024,6
AGE0310,Time,East,Unit,2022-02-06,139
AGE0311,Call,central,Instead,2024-10-18,179
AGE0312,Four,south,Call,03/03/2024,257
AGE0313,Executive,South,Its,15/01/2024,87
AGE0314,Reduce,South,Each,2024-09-06,235
AGE0315,Poor,South,Ten,20/11/2022,17
AGE0227,Particular,East,Newspaper,16-02-2022,140
AGE0317,Local,Central,Throw,05-08-2023,21
INVALID_13,Article,SOUTH,Participant,05-12-2022,144
AGE0319,Strategy,north,Sense,2022-02-11,9999
AGE0047,Listen,SOUTH,Source,11-06-2024,132
AGE0155,What,Central,Ground,2022-04-20,14
AGE0322,Direction,Central,Election,08/11/2024,8
AGE0323,American,West,Store,30/11/2023,192
AGE0324,Military,East,Hope,19-03-2024,261
AGE0325,Item,West,The,05/07/2024,243
AGE0326,Friend,South,Nearly,2024-06-03,31
AGE0327,Spring,Central,Part,2022-07-30,177
AGE0328,Plant,North,Woman,21-06-2024,150
AGE0329,Direction,East,West,18-09-2023,160
AGE0199,From,North,Five,05/09/2022,249
AGE0331,Everyone,East,Else,06/09/2024,-1
AGE0332,Five,South,Development,06/19/2022,224
AGE0151,Operation,Central,He,26-12-2023,203
AGE0334,Foot,West,Feeling,21/09/2022,133
AGE0335,Learn,Central,International,2023-10-05,230
AGE0336,Message,East,Body,31/07/2022,40
AGE0337,Congress,West,Community,2022-01-03,150
AGE0338,Trial,West,Itself,08/02/2024,237
AGE0339,Hope,West,He,13-07-2023,138
AGE0340,Black,Central,By,11-09-2023,64
AGE0341,Teacher,Central,Health,04/06/2024,199
AGE0342,Two,West,Already,2022-03-09,94
AGE0343,Police,West,Movie,10/10/2024,44
AGE0344,Second,West,Pull,24/09/2023,263
INVALID_66,Hospital,West,Although,08/30/2022,75
AGE0346,Over,West,Carry,08/04/2022,117
AGE0347,Themselves,Central,Phone,10-04-2022,168
AGE0348,Describe,Central,That,26-09-2024,90
AGE0349,Go,South,Life,17/07/2024,69
AGE0019,Lawyer,East,West,2024-06-14,214
AGE0351,News,East,Address,26-04-2023,206
AGE0352,His,East,Study,11/01/2023,90
AGE0353,Step,East,Old,26/11/2023,145
AGE0354,Authority,West,Big,05-07-2022,9999
AGE0355,Early,North,Evidence,25/10/2022,226
AGE0356,Clearly,East,Evening,06/10/2024,274
AGE0357,Far,East,Mind,2024-08-14,92
AGE0358,Bill,West,Will,2023-05-29,272
AGE0359,Marriage,West,Point,2024-07-18,181
AGE0360,Goal,East,Into,02/26/2023,1
AGE0361,Trip,East,Yard,2023-10-27,75
AGE0362,Major,South,Summer,12/10/2024,126
AGE0363,Happen,East,Red,24-11-2023,293
AGE0364,Picture,North,Assume,28/11/2024,238
AGE0365,Market,North,Citizen,25/02/2023,224
AGE0366,Current,West,Where,02/14/2024,213
AGE0367,Center,South,May,10/08/2022,90
AGE0368,Mrs,East,Direction,13/01/2022,144
AGE0369,Building,East,Put,2024-12-08,55
AGE0370,Price,North,Notice,24-09-2023,15
AGE0371,Position,South,Just,05/16/2022,129
AGE0372,Education,South,Occur,2024-06-21,190
AGE0373,Information,East,Discussion,18/10/2024,0
AGE0374,Where,South,Difficult,2022-10-31,3
AGE0375,After,East,Particularly,06/01/2023,180
AGE0376,Teach,North,Prevent,2023-06-21,95
AGE0377,Event,West,And,06-01-2023,35
AGE0378,Economic,North,Word,2022-02-25,181
AGE0379,Management,West,Soldier,05/22/2023,105
AGE0067,State,Central,Ground,29/03/2022,260
AGE0381,Challenge,Central,Southern,19-02-2024,260
AGE0382,Recently,South,Truth,02/04/2022,41
AGE0380,Price,North,Positive,09/08/2023,169
AGE0384,Exist,Central,Organization,09/19/2023,257
AGE0385,Age,East,Stuff,2023-10-08,140
AGE0229,Everybody,Central,Product,2023-10-22,249
AGE0387,Certain,Central,You,02/05/2022,244
AGE0388,Her,Central,Statement,07-06-2024,146
AGE0389,Administration,West,Education,2022-05-23,226
AGE0390,Win,North,Someone,17-06-2024,26
AGE0391,Door,West,With,05/01/2024,117
AGE0392,Future,South,Member,10/04/2022,113
INVALID_12,Six,Central,Control,13-03-2024,295
AGE0394,Pull,Central,Black,2024-03-02,224
AGE0395,Quite,East,Positive,28-11-2022,171
AGE0396,Southern,East,Admit,2022-10-02,94
AGE0397,Ten,Central,Imagine,19/11/2023,79
AGE0398,Image,South,Mean,16-12-2024,31
INVALID_76,Foot,South,Young,01/01/2022,162
AGE0400,International,South,Turn,22-02-2022,226
INVALID_79,Increase,South,Many,11-06-2023,191
AGE0402,Expert,East,Like,2023-07-23,10
AGE0403,Development,Central,Conference,21/01/2024,295
AGE0404,Development,Central,Focus,2024-10-01,34
AGE0405,Trip,West,Social,18/08/2024,278
AGE0406,Prove,North,American,19/10/2022,147
AGE0407,Your,Central,Cause,2024-12-23,68
AGE0408,Simply,South,Poor,14-11-2023,214
AGE0409,Happy,south,Still,2022-12-01,140
AGE0410,Control,Central,Common,2024-04-20,215
AGE0411,Provide,CENTRAL,Likely,19-11-2022,82
AGE0412,Purpose,East,Worker,14-06-2023,62
INVALID_51,Idea,EAST,Sort,2024-07-02,273
AGE0414,Coach,West,A,2022-09-19,118
AGE0415,Indeed,West,Fish,01/08/2023,72
AGE0416,Not,East,American,10/17/2022,181
AGE0417,North,South,Congress,04/18/2023,250
AGE0418,Natural,South,Strong,01/03/2022,187
AGE0419,Do,Central,Top,25/11/2023,195
AGE0420,Share,North,Ago,04-03-2022,200
AGE0421,Clear,North,President,2024-12-17,113
AGE0422,Bill,WEST,Mother,02/06/2023,166
AGE0250,Something,North,Rather,05/08/2023,118
AGE0424,Enough,South,Financial,07/29/2024,137
AGE0425,Base,South,Read,09-03-2022,190
AGE0426,Forget,North,Statement,16/05/2024,228
AGE0427,Eat,West,Child,06-03-2022,193
AGE0428,House,Central,Level,2024-07-03,68
AGE0429,Car,Central,Trade,26/12/2024,94
AGE0430,Old,East,Test,07-07-2024,114
AGE0431,Should,North,Drop,29/05/2024,46
AGE0432,Picture,central,Teacher,2024-11-10,263
AGE0433,Throughout,South,Nice,12/12/2024,38
AGE0434,Fast,East,By,2022-03-31,123
AGE0435,Already,NORTH,Treat,2024-01-27,111
AGE0436,Never,East,Assume,24-10-2024,286
AGE0437,Marriage,West,Instead,09-12-2023,215
AGE0242,Sort,South,How,23-11-2023,255
AGE0439,Its,West,Congress,06-01-2024,261
AGE0440,Town,South,Upon,12-07-2022,81
AGE0441,Skill,Central,Base,26/02/2022,1
AGE0442,Least,East,Either,2022-08-05,158
AGE0443,Accept,East,Learn,2023-11-18,13
AGE0444,Protect,East,Rock,15-09-2022,263
AGE0445,Enough,North,Than,08-10-2023,87
AGE0446,Deep,Central,Guess,30-09-2024,91
AGE0447,Way,East,Rich,12/17/2024,109
AGE0448,Will,West,Suggest,11/18/2024,68
AGE0449,Main,East,Throughout,11/15/2022,14
AGE0450,Democrat,East,Mission,2024-12-11,57
AGE0451,Leader,Central,Prevent,11/19/2022,204
AGE0452,Information,South,Build,2024-03-06,31
AGE0453,Catch,West,Knowledge,19/12/2023,145
AGE0454,Fill,North,Its,2022-06-20,253
AGE0455,Gun,North,Tonight,04/04/2022,238
AGE0456,Prove,central,Detail,24/07/2023,168
AGE0457,Lose,East,Might,07/16/2024,200
AGE0458,Indeed,West,Energy,07/04/2024,138
AGE0459,Relationship,Central,Support,06/11/2022,291
AGE0460,Economic,East,Theory,01-03-2024,23
AGE0461,Bad,North,Especially,2023-11-08,2
AGE0462,Identify,Central,Sister,02-09-2022,10
AGE0463,Program,West,Nation,22-02-2022,136
AGE0464,Design,North,Use,23-04-2023,273
AGE0465,None,West,Painting,30/07/2023,106
AGE0466,Court,West,Blue,06-03-2022,217
AGE0467,Dinner,Central,Risk,2024-02-11,226
AGE0468,Hard,North,Until,14/09/2022,36
AGE0469,Base,East,Huge,21/06/2022,7
AGE0470,Few,Central,Chair,07/14/2024,182
AGE0471,Agree,South,Opportunity,07/03/2024,203
AGE0472,Easy,South,Book,05/10/2023,224
AGE0473,Smile,East,Drug,09/11/2024,65
AGE0474,Attorney,West,Next,09/02/2022,153
AGE0475,Bring,South,Hundred,03/04/2023,237
AGE0476,Model,East,Economy,2024-07-16,277
AGE0477,Race,west,Team,06/13/2024,161
AGE0478,Face,WEST,Newspaper,2024-12-08,83
AGE0479,Sing,East,Practice,2022-04-14,189
AGE0480,Knowledge,East,Surface,14-05-2024,57
AGE0481,Last,east,Simple,15/12/2024,249
AGE0482,Event,North,Before,2024-05-04,24
AGE0284,Before,North,Area,02/08/2024,192
AGE0484,Such,South,Need,10/02/2023,235
AGE0485,Modern,South,Memory,2024-08-10,194
AGE0486,Former,North,Lawyer,21-05-2024,274
AGE0487,See,South,Article,2023-06-29,126
AGE0488,Cause,East,Police,02/10/2024,50
AGE0489,Whom,North,Father,25-12-2024,138
AGE0490,Social,Central,Against,28-03-2022,33
AGE0491,Set,South,Hope,2023-02-18,86
AGE0492,Loss,SOUTH,Nice,24/04/2024,188
AGE0493,Early,East,Her,2022-04-30,126
AGE0494,Show,East,Measure,2022-08-21,179
AGE0495,Their,central,Interest,01/07/2022,244
AGE0496,No,East,Name,08/17/2022,59
AGE0497,Air,West,Score,15/12/2023,54
AGE0498,Rate,Central,Technology,12-06-2023,189
INVALID_67,Skin,East,Bank,12/08/2024,39
AGE0500,Half,Central,Article,05-10-2024,173
AGE0501,Term,EAST,Future,06/15/2023,239
AGE0502,Fine,West,Foot,11-08-2024,229
AGE0503,His,West,Station,10/07/2022,255
INVALID_76,Join,Central,Never,30/09/2024,226
AGE0505,Approach,North,Yet,29-03-2024,85
AGE0506,Listen,Central,Four,06/10/2024,148
AGE0507,New,Central,Some,14/09/2023,112
AGE0508,Ball,Central,Open,10-02-2024,9999
INVALID_91,Tv,Central,Television,09/03/2024,29
AGE0510,There,East,Last,2022-09-19,179
AGE0511,Machine,West,Light,19/03/2023,78
AGE0512,Young,Central,Environment,2024-08-05,190
AGE0513,This,North,Hard,07/01/2022,58
AGE0514,Guess,West,House,01/09/2024,92
AGE0515,Author,CENTRAL,Address,2023-09-16,168
AGE0516,Quality,North,Character,2024-02-27,136
AGE0517,Example,North,Become,10/09/2023,148
AGE0518,Investment,South,Training,22-01-2022,89
AGE0519,Whole,South,According,19-03-2024,33
AGE0520,Treatment,Central,Different,13/08/2022,174
AGE0521,Song,West,Imagine,10-09-2024,136
AGE0522,Realize,South,Water,13-11-2022,201
AGE0523,House,West,Country,29-09-2024,231
AGE0524,Very,Central,Culture,09-01-2022,159
AGE0525,Least,East,Rest,04/02/2023,148
AGE0526,Economy,Central,Benefit,21/06/2023,8
INVALID_65,Analysis,Central,Anyone,2024-12-24,64
AGE0528,Whatever,East,Seek,2024-09-05,68
AGE0153,Represent,Central,Relate,2022-06-14,100
AGE0530,Fill,North,True,2023-09-27,61
AGE0531,Mention,North,Mission,11/10/2023,270
AGE0532,Purpose,CENTRAL,Raise,18/06/2023,293
AGE0533,Brother,North,Information,2024-01-25,229
AGE0534,Keep,South,Right,06/15/2024,265
INVALID_84,Deep,North,Position,2022-10-07,157
AGE0536,Sound,South,We,03/14/2024,229
AGE0537,Name,North,Name,2024-01-29,57
AGE0538,Few,South,Yourself,28/12/2024,35
AGE0539,Adult,Central,Fast,20/12/2024,170
AGE0540,Pm,central,Sister,05/11/2024,193
AGE0541,Moment,Central,Law,12-07-2022,15
AGE0542,Gas,East,Young,09/30/2023,197
AGE0543,Cause,East,Stay,11/06/2022,179
AGE0544,View,East,Might,2022-05-27,79
AGE0062,Black,South,Use,2024-07-24,270
AGE0546,Himself,East,Kind,01-09-2024,268
AGE0547,Development,South,That,10/17/2024,300
AGE0548,Society,North,She,07/23/2023,-1
AGE0549,Assume,West,Read,17/09/2024,195
AGE0550,Question,West,Front,01/25/2022,288
AGE0551,Occur,South,Feel,2023-08-30,127
AGE0552,Course,East,Raise,2023-01-01,63
AGE0553,Item,East,Himself,2024-02-04,60
AGE0554,Follow,West,Everybody,02/09/2022,196
AGE0555,How,North,Throughout,12-09-2023,135
AGE0556,Very,West,Society,12/17/2024,236
AGE0557,Nature,North,Show,05-10-2023,31
AGE0558,Away,West,During,2022-03-28,173
AGE0559,New,South,Speech,10-12-2024,62
AGE0252,News,South,Myself,09/08/2023,95
AGE0561,Art,West,Under,06/10/2022,64
AGE0562,Civil,North,Pass,12/24/2022,18
AGE0563,Girl,West,No,10/24/2023,88
AGE0257,Agree,SOUTH,Article,12/27/2024,99
AGE0565,Entire,North,Speech,03/16/2023,213
AGE0566,Cultural,Central,Republican,07-10-2023,92
AGE0567,Purpose,North,Either,2022-11-12,194
AGE0568,Father,West,Yeah,20/08/2023,278
